Mean,Area,ROI,Channel,Frame,Filename
105.727,2100,0,TPD54,1,s10_rapalog_xy1-Registered
105.350,2100,0,TPD54,2,s10_rapalog_xy1-Registered
105.344,2100,0,TPD54,3,s10_rapalog_xy1-Registered
105.280,2100,0,TPD54,4,s10_rapalog_xy1-Registered
105.173,2100,0,TPD54,5,s10_rapalog_xy1-Registered
106.251,2100,0,TPD54,6,s10_rapalog_xy1-Registered
105.803,2100,0,TPD54,7,s10_rapalog_xy1-Registered
105.409,2100,0,TPD54,8,s10_rapalog_xy1-Registered
105.347,2100,0,TPD54,9,s10_rapalog_xy1-Registered
105.298,2100,0,TPD54,10,s10_rapalog_xy1-Registered
105.002,2100,0,TPD54,11,s10_rapalog_xy1-Registered
105.075,2100,0,TPD54,12,s10_rapalog_xy1-Registered
104.895,2100,0,TPD54,13,s10_rapalog_xy1-Registered
104.998,2100,0,TPD54,14,s10_rapalog_xy1-Registered
104.885,2100,0,TPD54,15,s10_rapalog_xy1-Registered
104.802,2100,0,TPD54,16,s10_rapalog_xy1-Registered
104.920,2100,0,TPD54,17,s10_rapalog_xy1-Registered
104.893,2100,0,TPD54,18,s10_rapalog_xy1-Registered
104.842,2100,0,TPD54,19,s10_rapalog_xy1-Registered
104.642,2100,0,TPD54,20,s10_rapalog_xy1-Registered
104.691,2100,0,TPD54,21,s10_rapalog_xy1-Registered
104.740,2100,0,TPD54,22,s10_rapalog_xy1-Registered
104.550,2100,0,TPD54,23,s10_rapalog_xy1-Registered
104.779,2100,0,TPD54,24,s10_rapalog_xy1-Registered
104.675,2100,0,TPD54,25,s10_rapalog_xy1-Registered
104.823,2100,0,TPD54,26,s10_rapalog_xy1-Registered
104.569,2100,0,TPD54,27,s10_rapalog_xy1-Registered
104.610,2100,0,TPD54,28,s10_rapalog_xy1-Registered
104.581,2100,0,TPD54,29,s10_rapalog_xy1-Registered
104.588,2100,0,TPD54,30,s10_rapalog_xy1-Registered
104.469,2100,0,TPD54,31,s10_rapalog_xy1-Registered
104.534,2100,0,TPD54,32,s10_rapalog_xy1-Registered
104.505,2100,0,TPD54,33,s10_rapalog_xy1-Registered
104.493,2100,0,TPD54,34,s10_rapalog_xy1-Registered
104.493,2100,0,TPD54,35,s10_rapalog_xy1-Registered
193.296,147154,1,TPD54,1,s10_rapalog_xy1-Registered
191.543,147154,1,TPD54,2,s10_rapalog_xy1-Registered
190.735,147154,1,TPD54,3,s10_rapalog_xy1-Registered
189.786,147154,1,TPD54,4,s10_rapalog_xy1-Registered
189.233,147154,1,TPD54,5,s10_rapalog_xy1-Registered
187.688,147154,1,TPD54,6,s10_rapalog_xy1-Registered
188.732,147154,1,TPD54,7,s10_rapalog_xy1-Registered
187.369,147154,1,TPD54,8,s10_rapalog_xy1-Registered
186.617,147154,1,TPD54,9,s10_rapalog_xy1-Registered
185.956,147154,1,TPD54,10,s10_rapalog_xy1-Registered
185.173,147154,1,TPD54,11,s10_rapalog_xy1-Registered
184.841,147154,1,TPD54,12,s10_rapalog_xy1-Registered
184.377,147154,1,TPD54,13,s10_rapalog_xy1-Registered
184.259,147154,1,TPD54,14,s10_rapalog_xy1-Registered
183.996,147154,1,TPD54,15,s10_rapalog_xy1-Registered
183.708,147154,1,TPD54,16,s10_rapalog_xy1-Registered
183.441,147154,1,TPD54,17,s10_rapalog_xy1-Registered
182.601,147154,1,TPD54,18,s10_rapalog_xy1-Registered
182.135,147154,1,TPD54,19,s10_rapalog_xy1-Registered
181.547,147154,1,TPD54,20,s10_rapalog_xy1-Registered
180.854,147154,1,TPD54,21,s10_rapalog_xy1-Registered
180.381,147154,1,TPD54,22,s10_rapalog_xy1-Registered
179.919,147154,1,TPD54,23,s10_rapalog_xy1-Registered
179.208,147154,1,TPD54,24,s10_rapalog_xy1-Registered
178.917,147154,1,TPD54,25,s10_rapalog_xy1-Registered
178.628,147154,1,TPD54,26,s10_rapalog_xy1-Registered
177.899,147154,1,TPD54,27,s10_rapalog_xy1-Registered
177.082,147154,1,TPD54,28,s10_rapalog_xy1-Registered
176.511,147154,1,TPD54,29,s10_rapalog_xy1-Registered
176.195,147154,1,TPD54,30,s10_rapalog_xy1-Registered
175.575,147154,1,TPD54,31,s10_rapalog_xy1-Registered
174.994,147154,1,TPD54,32,s10_rapalog_xy1-Registered
174.162,147154,1,TPD54,33,s10_rapalog_xy1-Registered
173.199,147154,1,TPD54,34,s10_rapalog_xy1-Registered
173.230,147154,1,TPD54,35,s10_rapalog_xy1-Registered
109.920,2100,0,ATG9,1,s10_rapalog_xy1-Registered
110.041,2100,0,ATG9,2,s10_rapalog_xy1-Registered
109.809,2100,0,ATG9,3,s10_rapalog_xy1-Registered
109.850,2100,0,ATG9,4,s10_rapalog_xy1-Registered
109.930,2100,0,ATG9,5,s10_rapalog_xy1-Registered
111.071,2100,0,ATG9,6,s10_rapalog_xy1-Registered
110.716,2100,0,ATG9,7,s10_rapalog_xy1-Registered
110.119,2100,0,ATG9,8,s10_rapalog_xy1-Registered
109.808,2100,0,ATG9,9,s10_rapalog_xy1-Registered
109.619,2100,0,ATG9,10,s10_rapalog_xy1-Registered
109.594,2100,0,ATG9,11,s10_rapalog_xy1-Registered
109.702,2100,0,ATG9,12,s10_rapalog_xy1-Registered
109.471,2100,0,ATG9,13,s10_rapalog_xy1-Registered
109.372,2100,0,ATG9,14,s10_rapalog_xy1-Registered
109.353,2100,0,ATG9,15,s10_rapalog_xy1-Registered
109.176,2100,0,ATG9,16,s10_rapalog_xy1-Registered
109.149,2100,0,ATG9,17,s10_rapalog_xy1-Registered
109.286,2100,0,ATG9,18,s10_rapalog_xy1-Registered
109.125,2100,0,ATG9,19,s10_rapalog_xy1-Registered
109.076,2100,0,ATG9,20,s10_rapalog_xy1-Registered
109.106,2100,0,ATG9,21,s10_rapalog_xy1-Registered
109.162,2100,0,ATG9,22,s10_rapalog_xy1-Registered
108.855,2100,0,ATG9,23,s10_rapalog_xy1-Registered
109.045,2100,0,ATG9,24,s10_rapalog_xy1-Registered
108.994,2100,0,ATG9,25,s10_rapalog_xy1-Registered
108.927,2100,0,ATG9,26,s10_rapalog_xy1-Registered
108.763,2100,0,ATG9,27,s10_rapalog_xy1-Registered
108.788,2100,0,ATG9,28,s10_rapalog_xy1-Registered
108.906,2100,0,ATG9,29,s10_rapalog_xy1-Registered
108.838,2100,0,ATG9,30,s10_rapalog_xy1-Registered
108.883,2100,0,ATG9,31,s10_rapalog_xy1-Registered
