 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,637,167,18,653,182,42,17,16,25,1,1,1,3555,0,3555,2294025,618970,108100,645.295,174.113,30.408,2294025,618970,108100,645.295,174.113,30.408,27171.228,7.643,13.748,1.799,27171.228,7.643,13.748,1.799
2,2,673,304,18,692,321,47,20,18,30,2,2,2,10000,0,5000,6832440,3125830,306750,683.244,312.583,30.675,3416220,1562915,153375,683.244,312.583,30.675,42993.020,8.599,16.771,1.950,42993.020,8.599,16.771,1.950
3,3,773,312,18,784,326,42,12,15,25,3,3,3,6750,0,2250,5251725,2152635,191775,778.033,318.909,28.411,1750575,717545,63925,778.033,318.909,28.411,14886.512,6.616,13.658,2.064,14886.512,6.616,13.658,2.064
4,4,653,522,18,663,532,37,11,11,20,4,4,4,4420,0,1105,2907800,2327540,120200,657.873,526.593,27.195,726950,581885,30050,657.873,526.593,27.195,5995.036,5.425,10.559,1.946,5995.036,5.425,10.559,1.946
5,5,623,610,18,642,631,42,20,22,25,5,5,5,19175,0,3835,12085725,11889725,581500,630.286,620.064,30.326,2417145,2377945,116300,630.286,620.064,30.326,32062.360,8.360,15.241,1.823,32062.360,8.360,15.241,1.823
6,6,510,709,18,533,731,68,24,23,51,6,6,6,58398,0,9733,30421326,42044160,2281164,520.931,719.959,39.062,5070221,7007360,380194,520.931,719.959,39.062,118551.938,12.180,30.607,2.513,118551.938,12.180,30.607,2.513
7,7,481,756,18,499,776,52,19,21,35,7,7,7,54390,0,7770,26624465,41675025,2004625,489.510,766.226,36.856,3803495,5953575,286375,489.510,766.226,36.856,76908.172,9.898,19.288,1.949,76908.172,9.898,19.288,1.949
8,8,1001,1120,18,1009,1125,37,9,6,20,8,8,8,2840,0,355,2852400,3187320,77600,1004.366,1122.296,27.324,356550,398415,9700,1004.366,1122.296,27.324,1396.005,3.932,10.054,2.557,1396.005,3.932,10.054,2.557
9,9,845,1172,18,858,1184,37,14,13,20,9,9,9,18630,0,2070,15868440,21947625,515700,851.768,1178.080,27.681,1763160,2438625,57300,851.768,1178.080,27.681,13146.823,6.351,11.321,1.782,13146.823,6.351,11.321,1.782
10,10,722,340,23,742,364,52,21,25,30,10,10,10,58700,0,5870,42912950,20708600,2272000,731.055,352.787,38.705,4291295,2070860,227200,731.055,352.787,38.705,54215.830,9.236,19.404,2.101,54215.830,9.236,19.404,2.101
11,11,194,468,23,201,474,37,8,7,15,11,11,11,5885,0,535,1163140,2771175,177650,197.645,470.888,30.187,105740,251925,16150,197.645,470.888,30.187,2430.046,4.542,7.981,1.757,2430.046,4.542,7.981,1.757
12,12,1134,531,23,1144,540,42,11,10,20,12,12,12,12660,0,1055,14414040,6782160,398100,1138.550,535.716,31.445,1201170,565180,33175,1138.550,535.716,31.445,5763.644,5.463,11.148,2.041,5763.644,5.463,11.148,2.041
