 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,921,344,18,936,362,63,16,19,46,1,1,1,7059,0,7059,6555259,2493210,301567,928.638,353.196,42.721,6555259,2493210,301567,928.638,353.196,42.721,75472.689,10.692,24.789,2.319,75472.689,10.692,24.789,2.319
2,2,981,523,18,998,540,63,18,18,46,2,2,2,15606,0,7803,15443306,8306108,645088,989.575,532.238,41.336,7721653,4153054,322544,989.575,532.238,41.336,88895.644,11.392,24.151,2.120,88895.644,11.392,24.151,2.120
3,3,947,542,18,975,569,68,29,28,51,3,3,3,42315,0,14105,40523259,23569581,1850040,957.657,557.003,43.721,13507753,7856527,616680,957.657,557.003,43.721,191769.918,13.596,29.825,2.194,191769.918,13.596,29.825,2.194
4,4,225,599,18,241,613,52,17,15,35,4,4,4,19820,0,4955,4618740,12012920,703000,233.034,606.101,35.469,1154685,3003230,175750,233.034,606.101,35.469,46287.434,9.342,18.213,1.950,46287.434,9.342,18.213,1.950
5,5,1165,88,23,1183,106,58,19,19,36,5,5,5,35810,0,7162,42037265,3462155,1507605,1173.897,96.681,42.100,8407453,692431,301521,1173.897,96.681,42.100,73659.784,10.285,20.305,1.974,73659.784,10.285,20.305,1.974
6,6,784,119,23,801,137,68,18,19,46,6,6,6,53142,0,8857,42116136,6800244,2439006,792.521,127.964,45.896,7019356,1133374,406501,792.521,127.964,45.896,103827.829,11.723,23.896,2.038,103827.829,11.723,23.896,2.038
7,7,867,456,23,891,480,73,25,25,51,7,7,7,87332,0,12476,76632367,40701409,4298371,877.483,466.054,49.219,10947481,5814487,614053,877.483,466.054,49.219,157810.854,12.649,26.948,2.130,157810.854,12.649,26.948,2.130
8,8,519,564,23,529,578,47,11,15,25,8,8,8,14800,0,1850,7756680,8445160,498600,524.100,570.619,33.689,969585,1055645,62325,524.100,570.619,33.689,12584.686,6.803,13.884,2.041,12584.686,6.803,13.884,2.041
9,9,339,652,23,351,665,58,13,14,36,9,9,9,34056,0,3784,11759436,22430880,1463553,345.297,658.647,42.975,1306604,2492320,162617,345.297,658.647,42.975,33263.758,8.791,19.998,2.275,33263.758,8.791,19.998,2.275
10,10,1027,768,23,1038,784,52,12,17,30,10,10,10,31250,0,3125,32275450,24267150,1261750,1032.814,776.549,40.376,3227545,2426715,126175,1032.814,776.549,40.376,24378.152,7.801,17.531,2.247,24378.152,7.801,17.531,2.247
11,11,740,831,23,751,849,58,12,19,36,11,11,11,46178,0,4198,34414127,38773174,1906619,745.249,839.646,41.288,3128557,3524834,173329,745.249,839.646,41.288,37619.926,8.961,18.615,2.077,37619.926,8.961,18.615,2.077
12,12,940,849,23,952,862,52,13,14,30,12,12,12,35220,0,2935,33309240,30126480,1303200,945.748,855.380,37.002,2775770,2510540,108600,945.748,855.380,37.002,22521.174,7.673,15.432,2.011,22521.174,7.673,15.432,2.011
13,13,383,881,23,398,897,52,16,17,30,13,13,13,59085,0,4545,23071230,52492115,2192450,390.475,888.417,37.107,1774710,4037855,168650,390.475,888.417,37.107,39992.124,8.799,16.224,1.844,39992.124,8.799,16.224,1.844
14,14,299,967,23,307,975,47,9,9,25,14,14,14,13160,0,940,3987690,12769750,470750,303.016,970.346,35.771,284835,912125,33625,303.016,970.346,35.771,5144.535,5.473,12.985,2.373,5144.535,5.473,12.985,2.373
15,15,367,964,23,375,973,47,9,10,25,15,15,15,17100,0,1140,6336225,16563825,627375,370.539,968.645,36.689,422415,1104255,41825,370.539,968.645,36.689,6828.047,5.990,13.988,2.335,6828.047,5.990,13.988,2.335
16,16,310,990,23,323,1000,47,14,11,25,16,16,16,28160,0,1760,8928080,28009360,1025600,317.048,994.651,36.420,558005,1750585,64100,317.048,994.651,36.420,11960.315,6.796,13.807,2.032,11960.315,6.796,13.807,2.032
17,17,761,592,28,783,612,73,23,21,46,17,17,17,188326,0,11078,145441681,113236286,10217918,772.287,601.278,54.257,8555393,6660958,601054,772.287,601.278,54.257,137700.435,12.430,26.657,2.145,137700.435,12.430,26.657,2.145
18,18,876,665,28,894,684,68,19,20,41,18,18,18,128430,0,7135,113548158,86744034,6174720,884.125,675.419,48.078,6308231,4819113,343040,884.125,675.419,48.078,76367.162,10.703,22.096,2.064,76367.162,10.703,22.096,2.064
19,19,385,1032,28,393,1039,47,9,8,20,19,19,19,15390,0,810,5981485,15947460,580450,388.660,1036.222,37.716,314815,839340,30550,388.660,1036.222,37.716,4528.441,5.591,10.534,1.884,4528.441,5.591,10.534,1.884
20,20,554,1052,28,564,1059,42,11,8,15,20,20,20,18900,0,945,10574900,19953000,667500,559.519,1055.714,35.317,528745,997650,33375,559.519,1055.714,35.317,4804.903,5.085,8.963,1.763,4804.903,5.085,8.963,1.763
21,21,853,222,33,868,237,73,16,16,41,21,21,21,126777,0,6037,109039560,29038779,6960366,860.089,229.054,54.902,5192360,1382799,331446,860.089,229.054,54.902,65540.588,10.856,22.758,2.096,65540.588,10.856,22.758,2.096
22,22,860,272,33,869,281,63,10,10,31,22,22,22,20592,0,936,17804204,5680774,1004916,864.618,275.873,48.801,809282,258217,45678,864.618,275.873,48.801,5533.200,5.912,16.599,2.808,5533.200,5.912,16.599,2.808
23,23,725,400,33,731,405,47,7,6,15,23,23,23,4830,0,210,3518425,1941200,194350,728.452,401.905,40.238,152975,84400,8450,728.452,401.905,40.238,848.142,4.039,7.891,1.954,848.142,4.039,7.891,1.954
24,24,1050,443,33,1063,456,68,14,14,36,24,24,24,98208,0,4092,103800096,44175984,5087424,1056.941,449.821,51.803,4325004,1840666,211976,1056.941,449.821,51.803,38452.059,9.397,19.359,2.060,38452.059,9.397,19.359,2.060
