 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,995,863,13,1017,883,52,23,21,40,1,1,1,9665,0,9665,9709095,8438590,338425,1004.562,873.108,35.016,9709095,8438590,338425,1004.562,873.108,35.016,104299.256,10.791,22.260,2.063,104299.256,10.791,22.260,2.063
2,2,790,933,13,825,977,58,36,45,46,2,2,2,65440,0,32720,52698636,62532678,2252840,805.297,955.573,34.426,26349318,31266339,1126420,805.297,955.573,34.426,510746.243,15.610,26.611,1.705,510746.243,15.610,26.611,1.705
3,3,402,211,18,416,226,47,15,16,30,3,3,3,11595,0,3865,4743630,2540265,345450,409.110,219.083,29.793,1581210,846755,115150,409.110,219.083,29.793,31190.517,8.070,17.349,2.150,31190.517,8.070,17.349,2.150
4,4,495,266,18,516,289,47,22,24,30,4,4,4,31720,0,7930,16058920,8821620,1029500,506.271,278.109,32.456,4014730,2205405,257375,506.271,278.109,32.456,81131.220,10.231,18.947,1.852,81131.220,10.231,18.947,1.852
5,5,295,396,18,308,411,47,14,16,30,5,5,5,20825,0,4165,6280275,8405625,673500,301.574,403.631,32.341,1256055,1681125,134700,301.574,403.631,32.341,35338.521,8.485,15.770,1.859,35338.521,8.485,15.770,1.859
6,6,147,602,18,160,615,47,14,14,30,6,6,6,15360,0,2560,2353530,9341730,520800,153.225,608.186,33.906,392255,1556955,86800,153.225,608.186,33.906,18273.556,7.138,15.929,2.231,18273.556,7.138,15.929,2.231
7,7,677,635,18,688,647,42,12,13,25,7,7,7,18375,0,2625,12546765,11766720,563325,682.817,640.366,30.657,1792395,1680960,80475,682.817,640.366,30.657,19337.294,7.367,13.905,1.888,19337.294,7.367,13.905,1.888
8,8,64,702,18,85,720,52,22,19,35,8,8,8,57440,0,7180,4267080,40821280,1879800,74.288,710.677,32.726,533385,5102660,234975,74.288,710.677,32.726,68989.165,9.609,19.925,2.074,68989.165,9.609,19.925,2.074
9,9,633,702,18,652,721,47,20,20,30,9,9,9,59220,0,6580,37996650,42151230,2079675,641.619,711.774,35.118,4221850,4683470,231075,641.619,711.774,35.118,59964.714,9.113,17.951,1.970,59964.714,9.113,17.951,1.970
10,10,745,725,18,760,737,47,16,13,30,10,10,10,27750,0,2775,20857950,20300850,958000,751.638,731.562,34.523,2085795,2030085,95800,751.638,731.562,34.523,20540.637,7.402,16.757,2.264,20540.637,7.402,16.757,2.264
11,11,129,752,18,190,853,58,62,102,41,11,11,11,620202,0,56382,96824079,491805292,23423466,156.117,792.976,37.767,8802189,44709572,2129406,156.117,792.976,37.767,1594683.288,28.284,60.338,2.133,1594683.288,28.284,60.338,2.133
12,12,38,845,18,76,880,58,39,36,41,12,12,12,190464,0,15872,10242072,164157756,7021992,53.774,861.883,36.868,853506,13679813,585166,53.774,861.883,36.868,206247.207,12.994,29.264,2.252,206247.207,12.994,29.264,2.252
13,13,825,856,18,849,882,52,25,27,35,13,13,13,142415,0,10955,119398370,123675175,5081050,838.383,868.414,35.678,9184490,9513475,390850,838.383,868.414,35.678,120926.879,11.039,19.177,1.737,120926.879,11.039,19.177,1.737
