 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,294,89,0,302,98,22,9,10,23,1,1,1,961,0,961,285932,90254,9886,297.536,93.917,10.287,285932,90254,9886,297.536,93.917,10.287,5136.863,5.345,12.362,2.313,5136.863,5.345,12.362,2.313
2,2,416,539,0,431,552,17,16,14,18,2,2,2,5328,0,2664,2255870,2907240,45018,423.399,545.653,8.449,1127935,1453620,22509,423.399,545.653,8.449,17966.276,6.744,11.115,1.648,17966.276,6.744,11.115,1.648
3,3,412,931,0,435,948,32,24,18,33,3,3,3,22056,0,7352,9331965,20728581,309726,423.103,939.816,14.043,3110655,6909527,103242,423.103,939.816,14.043,71681.629,9.750,18.651,1.913,71681.629,9.750,18.651,1.913
4,4,726,979,0,740,992,22,15,14,23,4,4,4,9244,0,2311,6778160,9110152,118124,733.250,985.521,12.778,1694540,2277538,29531,733.250,985.521,12.778,15246.745,6.597,12.848,1.947,15246.745,6.597,12.848,1.947
5,5,551,429,3,571,447,32,21,19,30,5,5,5,28225,0,5645,15834950,12335650,489250,561.026,437.047,17.334,3166990,2467130,97850,561.026,437.047,17.334,50896.335,9.016,16.397,1.819,50896.335,9.016,16.397,1.819
6,6,531,905,3,544,924,27,14,20,25,6,6,6,12720,0,2120,6843480,11604060,177450,538.009,912.269,13.950,1140580,1934010,29575,538.009,912.269,13.950,15824.828,7.465,18.248,2.445,15824.828,7.465,18.248,2.445
7,7,809,306,8,809,306,17,1,1,10,7,7,7,70,0,10,56630,21420,875,809.000,306.000,12.500,8090,3060,125,809.000,306.000,12.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
8,8,810,307,8,812,310,17,3,4,10,8,8,8,480,0,60,389280,148080,6000,811.000,308.500,12.500,48660,18510,750,811.000,308.500,12.500,176.613,2.944,4.848,1.647,176.613,2.944,4.848,1.647
9,9,115,353,8,124,361,22,10,9,15,9,9,9,6435,0,715,769140,2298465,96300,119.524,357.182,14.965,85460,255385,10700,119.524,357.182,14.965,3449.944,4.825,8.447,1.751,3449.944,4.825,8.447,1.751
10,10,549,595,8,569,619,42,21,25,35,10,10,10,87200,0,8720,48765650,52908000,2254000,559.239,606.743,25.849,4876565,5290800,225400,559.239,606.743,25.849,88153.604,10.109,19.095,1.889,88153.604,10.109,19.095,1.889
11,11,673,605,8,673,605,17,1,1,10,11,11,11,110,0,10,74030,66550,1375,673.000,605.000,12.500,6730,6050,125,673.000,605.000,12.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
