 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,375,195,19,397,217,56,23,23,38,1,1,1,8634,0,8634,3336859,1781790,312543,386.479,206.369,36.199,3336859,1781790,312543,386.479,206.369,36.199,92530.031,10.717,21.161,1.975,92530.031,10.717,21.161,1.975
2,2,473,308,19,482,323,41,10,16,23,2,2,2,3286,0,1643,1567556,1036108,111540,477.041,315.310,33.944,783778,518054,55770,477.041,315.310,33.944,10334.189,6.290,15.157,2.410,10334.189,6.290,15.157,2.410
3,3,799,382,19,820,398,49,22,17,31,3,3,3,12453,0,4151,10083864,4854612,393366,809.754,389.835,31.588,3361288,1618204,131122,809.754,389.835,31.588,38267.871,9.219,19.469,2.112,38267.871,9.219,19.469,2.112
4,4,435,400,19,470,432,56,36,33,38,4,4,4,59460,0,14865,26958796,24751620,2282972,453.394,416.273,38.395,6739699,6187905,570743,453.394,416.273,38.395,194852.346,13.108,24.804,1.892,194852.346,13.108,24.804,1.892
5,5,330,424,19,332,428,33,3,5,15,5,5,5,900,0,180,297750,383025,23400,330.833,425.583,26.000,59550,76605,4680,330.833,425.583,26.000,745.232,4.140,7.452,1.800,745.232,4.140,7.452,1.800
6,6,735,437,19,760,452,49,26,16,31,6,6,6,30576,0,5096,22826028,13575402,1111632,746.534,443.989,36.356,3804338,2262567,185272,746.534,443.989,36.356,47347.834,9.291,19.753,2.126,47347.834,9.291,19.753,2.126
7,7,389,446,19,405,469,49,17,24,31,7,7,7,37296,0,5328,14809396,17044384,1252664,397.077,457.003,33.587,2115628,2434912,178952,397.077,457.003,33.587,49851.576,9.357,18.113,1.936,49851.576,9.357,18.113,1.936
8,8,419,514,19,429,524,49,11,11,31,8,8,8,13400,0,1675,5676192,6949384,504304,423.596,518.611,37.635,709524,868673,63038,423.596,518.611,37.635,11666.225,6.965,18.772,2.695,11666.225,6.965,18.772,2.695
9,9,606,133,27,612,144,49,7,12,23,9,9,9,8892,0,988,5418207,1232109,332244,609.335,138.564,37.364,602023,136901,36916,609.335,138.564,37.364,6383.995,6.462,12.950,2.004,6383.995,6.462,12.950,2.004
10,10,407,222,27,412,228,41,6,7,15,10,10,10,4950,0,495,2027700,1114650,168300,409.636,225.182,34.000,202770,111465,16830,409.636,225.182,34.000,2281.546,4.609,8.044,1.745,2281.546,4.609,8.044,1.745
11,11,368,252,27,374,258,41,7,7,15,11,11,11,6270,0,570,2324850,1600170,213180,370.789,255.211,34.000,211350,145470,19380,370.789,255.211,34.000,2656.988,4.661,8.035,1.724,2656.988,4.661,8.035,1.724
12,12,809,289,27,815,296,49,7,8,23,12,12,12,12312,0,1026,10000452,3600336,473856,812.252,292.425,38.487,833371,300028,39488,812.252,292.425,38.487,6594.119,6.427,12.114,1.885,6594.119,6.427,12.114,1.885
13,13,320,303,27,335,314,64,16,12,38,13,13,13,32942,0,2534,10811242,10178467,1386593,328.190,308.981,42.092,831634,782959,106661,328.190,308.981,42.092,21632.550,8.537,22.517,2.638,21632.550,8.537,22.517,2.638
14,14,94,326,27,103,333,56,10,8,30,14,14,14,15946,0,1139,1575294,5246332,669648,98.789,329.006,41.995,112521,374738,47832,98.789,329.006,41.995,6974.778,6.124,15.382,2.512,6974.778,6.124,15.382,2.512
15,15,477,332,27,485,337,41,9,6,15,15,15,15,7650,0,510,3674475,2562975,260100,480.324,335.029,34.000,244965,170865,17340,480.324,335.029,34.000,2432.018,4.769,8.646,1.813,2432.018,4.769,8.646,1.813
16,16,727,334,27,742,364,56,16,31,30,16,16,16,92016,0,5751,67658320,31957440,3566624,735.289,347.303,38.761,4228645,1997340,222914,735.289,347.303,38.761,57569.125,10.010,20.875,2.085,57569.125,10.010,20.875,2.085
17,17,626,370,27,640,379,49,15,10,23,17,17,17,21709,0,1277,13766107,8130080,784754,634.120,374.503,36.149,809771,478240,46162,634.120,374.503,36.149,8463.998,6.628,14.212,2.144,8463.998,6.628,14.212,2.144
18,18,642,376,27,656,388,49,15,13,23,18,18,18,47808,0,2656,31066074,18271206,1879128,649.809,382.179,39.306,1725893,1015067,104396,649.809,382.179,39.306,19310.036,7.270,13.895,1.911,19310.036,7.270,13.895,1.911
19,19,557,390,27,560,392,41,4,3,15,19,19,19,2280,0,120,1273665,892050,77520,558.625,391.250,34.000,67035,46950,4080,558.625,391.250,34.000,482.598,4.022,7.190,1.788,482.598,4.022,7.190,1.788
20,20,816,396,27,816,396,41,1,1,15,20,20,20,300,0,15,244800,118800,10200,816.000,396.000,34.000,12240,5940,510,816.000,396.000,34.000,56.000,3.733,7.000,1.875,56.000,3.733,7.000,1.875
21,21,262,376,27,281,406,72,20,31,46,21,21,21,164367,0,7827,44474199,64810767,7999194,270.579,394.305,48.667,2117819,3086227,380914,270.579,394.305,48.667,83921.172,10.722,24.165,2.254,83921.172,10.722,24.165,2.254
22,22,537,400,27,547,413,49,11,14,23,22,22,22,45122,0,2051,24467476,18314692,1666940,542.252,405.893,36.943,1112158,832486,75770,542.252,405.893,36.943,14325.322,6.985,13.287,1.902,14325.322,6.985,13.287,1.902
23,23,747,400,27,751,403,41,5,4,15,23,23,23,5520,0,240,4134135,2217315,187680,748.938,401.688,34.000,179745,96405,8160,748.938,401.688,34.000,1009.917,4.208,7.381,1.754,1009.917,4.208,7.381,1.754
24,24,545,430,27,551,434,41,7,5,15,24,24,24,7200,0,300,3946320,3111120,244800,548.100,432.100,34.000,164430,129630,10200,548.100,432.100,34.000,1321.041,4.403,7.708,1.751,1321.041,4.403,7.708,1.751
25,25,382,456,27,386,458,41,5,3,15,25,25,25,3000,0,120,1152375,1372125,102000,384.125,457.375,34.000,46095,54885,4080,384.125,457.375,34.000,489.722,4.081,7.342,1.799,489.722,4.081,7.342,1.799
26,26,760,457,27,774,462,41,15,6,15,26,26,26,21450,0,825,16453710,9863880,729300,767.073,459.855,34.000,632835,379380,28050,767.073,459.855,34.000,4624.749,5.606,9.952,1.775,4624.749,5.606,9.952,1.775
27,27,446,487,27,456,498,56,11,12,30,27,27,27,51219,0,1897,23077413,25210413,2006046,450.564,492.208,39.166,854719,933719,74298,450.564,492.208,39.166,13163.613,6.939,16.938,2.441,13163.613,6.939,16.938,2.441
28,28,509,497,27,525,511,56,17,15,30,28,28,28,129584,0,4628,66978044,65319072,5302920,516.870,504.067,40.923,2392073,2332824,189390,516.870,504.067,40.923,40948.566,8.848,16.790,1.898,40948.566,8.848,16.790,1.898
29,29,496,549,27,504,559,49,9,11,23,29,29,29,28362,0,978,14178564,15706313,1041796,499.914,553.780,36.732,488916,541597,35924,499.914,553.780,36.732,6145.882,6.284,13.376,2.129,6145.882,6.284,13.376,2.129
30,30,639,547,27,653,565,56,15,19,30,30,30,30,96270,0,3209,62128560,53439330,4002450,645.357,555.098,41.575,2070952,1781311,133415,645.357,555.098,41.575,23893.370,7.446,15.663,2.104,23893.370,7.446,15.663,2.104
31,31,833,596,27,845,605,49,13,10,23,31,31,31,44454,0,1434,37315661,26693697,1829868,839.422,600.479,41.163,1203731,861087,59028,839.422,600.479,41.163,8617.372,6.009,14.449,2.404,8617.372,6.009,14.449,2.404
32,32,364,599,27,375,613,56,12,15,30,32,32,32,86112,0,2691,31844704,52218720,3780160,369.806,606.405,43.898,995147,1631835,118130,369.806,606.405,43.898,21063.066,7.827,17.318,2.212,21063.066,7.827,17.318,2.212
33,33,769,607,27,773,612,41,5,6,15,33,33,33,10395,0,315,8017020,6333525,353430,771.238,609.286,34.000,242940,191925,10710,771.238,609.286,34.000,1377.889,4.374,7.712,1.763,1377.889,4.374,7.712,1.763
34,34,451,603,27,487,630,94,37,28,68,34,34,34,933470,0,27455,435435314,575168038,55454544,466.470,616.161,59.407,12806921,16916707,1631016,466.470,616.161,59.407,475633.455,17.324,38.122,2.201,475633.455,17.324,38.122,2.201
35,35,333,618,27,340,622,49,8,5,23,35,35,35,14875,0,425,5010985,9222990,591990,336.873,620.033,39.798,143171,263514,16914,336.873,620.033,39.798,2286.463,5.380,13.411,2.493,2286.463,5.380,13.411,2.493
