 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,606,355,11,634,368,41,29,14,31,1,1,1,5450,0,5450,3391000,1970025,161656,622.202,361.472,29.662,3391000,1970025,161656,622.202,361.472,29.662,54865.848,10.067,20.638,2.050,54865.848,10.067,20.638,2.050
2,2,481,568,11,495,578,41,15,11,31,2,2,2,2792,0,1396,1361340,1600176,74032,487.586,573.129,26.516,680670,800088,37016,487.586,573.129,26.516,8392.314,6.012,17.061,2.838,8392.314,6.012,17.061,2.838
3,3,348,570,11,360,581,41,13,12,31,3,3,3,4428,0,1476,1571397,2552370,111636,354.877,576.416,25.211,523799,850790,37212,354.877,576.416,25.211,10194.366,6.907,18.053,2.614,10194.366,6.907,18.053,2.614
4,4,602,780,11,615,797,41,14,18,31,4,4,4,13196,0,3299,8028040,10409696,361064,608.369,788.852,27.362,2007010,2602424,90266,608.369,788.852,27.362,26658.650,8.081,17.368,2.149,26658.650,8.081,17.368,2.149
5,5,856,797,11,867,807,33,12,11,23,5,5,5,8240,0,1648,7099515,6606720,202280,861.592,801.786,24.549,1419903,1321344,40456,861.592,801.786,24.549,10357.053,6.285,14.040,2.234,10357.053,6.285,14.040,2.234
6,6,496,814,11,519,837,49,24,24,39,6,6,6,37044,0,6174,18735894,30674538,1136424,505.774,828.057,30.678,3122649,5112423,189404,505.774,828.057,30.678,62643.453,10.146,21.657,2.134,62643.453,10.146,21.657,2.134
7,7,418,266,19,428,278,49,11,13,31,7,7,7,16961,0,2423,7178192,4614078,551558,423.217,272.040,32.519,1025456,659154,78794,423.217,272.040,32.519,18504.338,7.637,16.941,2.218,18504.338,7.637,16.941,2.218
8,8,468,275,19,479,291,49,12,17,31,8,8,8,30480,0,3810,14425728,8632624,948864,473.285,283.223,31.131,1803216,1079078,118608,473.285,283.223,31.131,31137.099,8.172,19.677,2.408,31137.099,8.172,19.677,2.408
9,9,588,324,19,601,334,49,14,11,31,9,9,9,20088,0,2232,11950677,6599745,697896,594.916,328.542,34.742,1327853,733305,77544,594.916,328.542,34.742,15963.694,7.152,16.644,2.327,15963.694,7.152,16.644,2.327
10,10,572,346,19,583,357,56,12,12,38,10,10,10,27020,0,2702,15581820,9499390,1102710,576.677,351.569,40.811,1558182,949939,110271,576.677,351.569,40.811,23705.584,8.773,22.067,2.515,23705.584,8.773,22.067,2.515
