 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,851,322,11,859,331,33,9,10,23,1,1,1,609,0,609,519790,198665,15558,853.514,326.215,25.547,519790,198665,15558,853.514,326.215,25.547,3288.496,5.400,14.888,2.757,3288.496,5.400,14.888,2.757
2,2,653,566,11,668,577,41,16,12,31,2,2,2,6734,0,3367,4447098,3849496,182076,660.395,571.651,27.038,2223549,1924748,91038,660.395,571.651,27.038,27703.788,8.228,16.896,2.053,27703.788,8.228,16.896,2.053
3,3,490,422,19,500,437,41,11,16,23,3,3,3,5184,0,1728,2565168,2231916,168300,494.824,430.539,32.465,855056,743972,56100,494.824,430.539,32.465,11759.303,6.805,14.234,2.092,11759.303,6.805,14.234,2.092
4,4,570,460,19,581,469,41,12,10,23,4,4,4,6764,0,1691,3890256,3142384,200280,575.141,464.575,29.610,972564,785596,50070,575.141,464.575,29.610,11545.176,6.827,12.905,1.890,11545.176,6.827,12.905,1.890
5,5,566,495,19,570,498,33,5,4,15,5,5,5,1125,0,225,638625,558375,29250,567.667,496.333,26.000,127725,111675,5850,567.667,496.333,26.000,940.211,4.179,7.409,1.773,940.211,4.179,7.409,1.773
6,6,572,497,19,583,504,41,12,8,23,6,6,6,5832,0,972,3372624,2916048,193320,578.296,500.008,33.148,562104,486008,32220,578.296,500.008,33.148,5462.519,5.620,14.625,2.602,5462.519,5.620,14.625,2.602
7,7,550,509,19,578,531,41,29,23,23,7,7,7,23366,0,3338,13247836,12184753,774480,566.971,521.474,33.146,1892548,1740679,110640,566.971,521.474,33.146,28490.835,8.535,19.500,2.285,28490.835,8.535,19.500,2.285
8,8,533,582,19,559,608,41,27,27,23,8,8,8,69424,0,8678,37828496,41303704,2154720,544.891,594.948,31.037,4728562,5162963,269340,544.891,594.948,31.037,91709.664,10.568,20.344,1.925,91709.664,10.568,20.344,1.925
9,9,585,651,19,599,673,56,15,23,38,9,9,9,47943,0,5327,28381572,31747824,1789191,591.986,662.199,37.319,3153508,3527536,198799,591.986,662.199,37.319,50814.243,9.539,22.049,2.311,50814.243,9.539,22.049,2.311
10,10,893,691,19,907,721,33,15,31,15,10,10,10,40650,0,4065,36576600,28661400,1056900,899.793,705.077,26.000,3657660,2866140,105690,899.793,705.077,26.000,36708.116,9.030,17.802,1.971,36708.116,9.030,17.802,1.971
