 ,IDENTIFIER,BOUNDING_BOX_X,BOUNDING_BOX_Y,BOUNDING_BOX_Z,BOUNDING_BOX_END_X,BOUNDING_BOX_END_Y,BOUNDING_BOX_END_Z,BOUNDING_BOX_WIDTH,BOUNDING_BOX_HEIGHT,BOUNDING_BOX_DEPTH,MINIMUM_INTENSITY,MAXIMUM_INTENSITY,MEAN_INTENSITY,SUM_INTENSITY,STANDARD_DEVIATION_INTENSITY,PIXEL_COUNT,SUM_INTENSITY_TIMES_X,SUM_INTENSITY_TIMES_Y,SUM_INTENSITY_TIMES_Z,MASS_CENTER_X,MASS_CENTER_Y,MASS_CENTER_Z,SUM_X,SUM_Y,SUM_Z,CENTROID_X,CENTROID_Y,CENTROID_Z,SUM_DISTANCE_TO_MASS_CENTER,MEAN_DISTANCE_TO_MASS_CENTER,MAX_DISTANCE_TO_MASS_CENTER,MAX_MEAN_DISTANCE_TO_MASS_CENTER_RATIO,SUM_DISTANCE_TO_CENTROID,MEAN_DISTANCE_TO_CENTROID,MAX_DISTANCE_TO_CENTROID,MAX_MEAN_DISTANCE_TO_CENTROID_RATIO
1,1,1010,990,0,1024,1004,32,15,15,33,1,1,1,4430,0,4430,4504226,4416714,80965,1016.755,997.001,18.277,4504226,4416714,80965,1016.755,997.001,18.277,38399.318,8.668,18.604,2.146,38399.318,8.668,18.604,2.146
2,2,730,550,3,744,563,32,15,14,30,2,2,2,5890,0,2945,4336380,3277040,116900,736.228,556.374,19.847,2168190,1638520,58450,736.228,556.374,19.847,22243.895,7.553,16.970,2.247,22243.895,7.553,16.970,2.247
3,3,433,1067,3,441,1076,22,9,10,20,3,3,3,1830,0,610,797775,1961775,29700,435.943,1072.008,16.230,265925,653925,9900,435.943,1072.008,16.230,2769.764,4.541,13.553,2.985,2769.764,4.541,13.553,2.985
4,4,399,137,8,410,146,32,12,10,25,4,4,4,6980,0,1745,2822020,987260,141200,404.301,141.441,20.229,705505,246815,35300,404.301,141.441,20.229,11773.243,6.747,12.975,1.923,11773.243,6.747,12.975,1.923
5,5,608,378,8,616,387,32,9,10,25,5,5,5,4900,0,980,3001225,1874475,96375,612.495,382.546,19.668,600245,374895,19275,612.495,382.546,19.668,5092.308,5.196,12.678,2.440,5092.308,5.196,12.678,2.440
6,6,948,687,8,979,720,42,32,34,35,6,6,6,92160,0,15360,88874760,64888260,2215650,964.353,704.083,24.041,14812460,10814710,369275,964.353,704.083,24.041,191467.533,12.465,24.551,1.970,191467.533,12.465,24.551,1.970
7,7,126,735,8,146,764,58,21,30,51,7,7,7,77840,0,11120,10533894,58519825,2517585,135.328,751.796,32.343,1504842,8359975,359655,135.328,751.796,32.343,133458.056,12.002,27.047,2.254,133458.056,12.002,27.047,2.254
8,8,714,1024,8,719,1029,22,6,6,15,8,8,8,2080,0,260,1490120,2134880,29200,716.404,1026.385,14.038,186265,266860,3650,716.404,1026.385,14.038,1056.164,4.062,8.529,2.099,1056.164,4.062,8.529,2.099
9,9,700,1024,8,705,1032,22,6,9,15,9,9,9,4230,0,470,2971305,4349970,63225,702.436,1028.362,14.947,330145,483330,7025,702.436,1028.362,14.947,2138.630,4.550,8.439,1.855,2138.630,4.550,8.439,1.855
10,10,209,1044,8,228,1060,47,20,17,40,10,10,10,71450,0,7145,15526450,75195400,1991750,217.305,1052.420,27.876,1552645,7519540,199175,217.305,1052.420,27.876,70717.555,9.897,20.157,2.037,70717.555,9.897,20.157,2.037
11,11,836,494,13,852,505,37,17,12,25,11,11,11,13530,0,1230,11408760,6745035,329175,843.220,498.524,24.329,1037160,613185,29925,843.220,498.524,24.329,7670.095,6.236,13.168,2.112,7670.095,6.236,13.168,2.112
12,12,689,502,13,705,521,58,17,20,46,12,12,12,87720,0,7310,61174296,44977908,3069060,697.381,512.744,34.987,5097858,3748159,255755,697.381,512.744,34.987,80021.338,10.947,23.774,2.172,80021.338,10.947,23.774,2.172
13,13,768,602,13,792,628,42,25,27,30,13,13,13,130585,0,10045,101892960,80421965,3700125,780.281,615.859,28.335,7837920,6186305,284625,780.281,615.859,28.335,107120.940,10.664,19.940,1.870,107120.940,10.664,19.940,1.870
14,14,1001,759,13,1063,805,68,63,47,56,14,14,14,576492,0,41178,594442688,450665474,20729856,1031.138,781.738,35.959,42460192,32190391,1480704,1031.138,781.738,35.959,916610.994,22.260,39.355,1.768,916610.994,22.260,39.355,1.768
15,15,869,770,13,887,788,37,19,19,25,15,15,15,51375,0,3425,45150075,40002225,1260000,878.834,778.632,24.526,3010005,2666815,84000,878.834,778.632,24.526,27581.676,8.053,15.012,1.864,27581.676,8.053,15.012,1.864
16,16,843,816,13,866,835,52,24,20,40,16,16,16,120800,0,7550,103303920,99753920,3879200,855.165,825.777,32.113,6456495,6234620,242450,855.165,825.777,32.113,80055.081,10.603,21.569,2.034,80055.081,10.603,21.569,2.034
17,17,886,825,13,910,843,42,25,19,30,17,17,17,67320,0,3960,60487190,56197495,1805400,898.503,834.782,26.818,3558070,3305735,106200,898.503,834.782,26.818,35972.347,9.084,16.999,1.871,35972.347,9.084,16.999,1.871
18,18,151,868,13,180,889,52,30,22,40,18,18,18,205830,0,11435,33689340,180875160,6657750,163.676,878.760,32.346,1871630,10048620,369875,163.676,878.760,32.346,131486.731,11.499,21.840,1.899,131486.731,11.499,21.840,1.899
19,19,458,1048,13,468,1058,37,11,11,25,19,19,19,34485,0,1815,15978810,36309285,798000,463.355,1052.901,23.140,840990,1911015,42000,463.355,1052.901,23.140,11848.771,6.528,14.186,2.173,11848.771,6.528,14.186,2.173
20,20,147,147,18,147,147,27,1,1,10,20,20,20,200,0,10,29400,29400,4500,147.000,147.000,22.500,1470,1470,225,147.000,147.000,22.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
21,21,342,371,18,351,384,42,10,14,25,21,21,21,33285,0,1585,11541810,12561465,942900,346.757,377.391,28.328,549610,598165,44900,346.757,377.391,28.328,10181.275,6.424,14.141,2.201,10181.275,6.424,14.141,2.201
22,22,1046,756,18,1049,757,27,4,2,10,22,22,22,1320,0,60,1382700,998360,29700,1047.500,756.333,22.500,62850,45380,1350,1047.500,756.333,22.500,167.330,2.789,4.755,1.705,167.330,2.789,4.755,1.705
23,23,832,813,18,846,839,47,15,27,30,23,23,23,77740,0,3380,65120935,64435190,2637525,837.676,828.855,33.928,2831345,2801530,114675,837.676,828.855,33.928,30823.757,9.119,20.617,2.261,30823.757,9.119,20.617,2.261
24,24,232,995,18,254,1014,52,23,20,35,24,24,24,193320,0,8055,47297760,194241360,7125000,244.660,1004.766,36.856,1970740,8093390,296875,244.660,1004.766,36.856,81909.056,10.169,20.570,2.023,81909.056,10.169,20.570,2.023
25,25,355,385,23,355,385,32,1,1,10,25,25,25,250,0,10,88750,96250,6875,355.000,385.000,27.500,3550,3850,275,355.000,385.000,27.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
26,26,722,420,23,730,428,42,9,9,20,26,26,26,11180,0,430,8111220,4736810,361400,725.512,423.686,32.326,311970,182185,13900,725.512,423.686,32.326,2062.634,4.797,10.463,2.181,2062.634,4.797,10.463,2.181
27,27,73,440,23,87,454,52,15,15,30,27,27,27,87750,0,3250,7063335,39214395,3179925,80.494,446.888,36.238,261605,1452385,117775,80.494,446.888,36.238,25929.328,7.978,16.645,2.086,25929.328,7.978,16.645,2.086
28,28,855,450,23,861,459,37,7,10,15,28,28,28,10780,0,385,9255260,4903220,307300,858.558,454.844,28.506,330545,175115,10975,858.558,454.844,28.506,1678.221,4.359,9.472,2.173,1678.221,4.359,9.472,2.173
29,29,210,447,23,223,463,58,14,17,36,29,29,29,123598,0,4262,26742872,56206060,4899724,216.370,454.749,39.642,922168,1938140,168956,216.370,454.749,39.642,38226.365,8.969,19.306,2.153,38226.365,8.969,19.306,2.153
30,30,713,463,23,713,463,32,1,1,10,30,30,30,300,0,10,213900,138900,8250,713.000,463.000,27.500,7130,4630,275,713.000,463.000,27.500,25.000,2.500,4.500,1.800,25.000,2.500,4.500,1.800
31,31,754,498,23,766,514,42,13,17,20,31,31,31,50065,0,1615,38037310,25275075,1636800,759.759,504.845,32.693,1227010,815325,52800,759.759,504.845,32.693,11151.786,6.905,12.954,1.876,11151.786,6.905,12.954,1.876
