"Gene.names","INV"
"TPD52L2",279325589.785918
"TPD52",134760809.264306
"BASP1",46565471.5104474
"SCAMP3",35038298.8909341
"ACTC1",35242758.6905493
"RAB6A",50028177.0492134
"SYPL1",18062143.0611839
"ITGB1",23205582.1017085
"AGTRAP",18288931.8082002
"SLC3A2",62046773.5090697
"BSG",15548142.8573616
"HLA-C",13463012.7037733
"TFRC",18551078.330873
"AHNAK",8638664.98801478
"CALR",25606669.3665471
"ANXA2",11918960.3466214
"EDIL3",11125571.102024
"SYNGR2",12380618.6357101
"RAB1B",9030619.25644533
"SLC2A1",18104290.2198838
"GNAI2",7773519.68159425
"PTHLH",8072647.59912184
"RAB1A",8442580.48196746
"SLC7A5",6414932.51972103
"CD44",17734148.3327042
"ATP1A1",6265469.96650753
"CANX",7888080.84340628
"HLA-A",7360992.8138313
"RAB1C",7357720.72165741
"PDIA3",4525277.56128698
"MSN",5532182.68294084
"P4HB",6497593.32249162
"SCAMP1",12336415.7384697
"BST2",5111968.88166978
"SLC1A5",16429935.4647558
"DNAJC5",4733723.28047692
"HIST1H2AJ",12110193.7860001
"ITGA5",4439388.52844416
"DNAJC13",3376628.60399455
"M6PR",4807133.43766601
"MCAM",3670836.25451643
"GANAB",3989342.75081767
"JUP",3870492.15921645
"VAMP7",3367724.50900746
"VAMP3",3356809.46709949
"PLEC",3790579.25129328
"RAB14",2642188.52252986
"VAMP2",5245803.14813343
"ATG9A",2076224.0044256
"HSP90B1",9107365.15619048
"RAB2A",2404329.08480949
"ITGAV",9308594.5961637
"HSPA9",2565678.97038047
"CTNNA1",3015376.83024057
"DAGLB",2306309.85555184
"LAMP1",2971745.25868274
"TPD52L1",4806357.11733394
"TMEM179B",2531142.7500902
"ATP1B1",2223438.48691877
"HIST3H3",2327306.98039807
"PCYT1A",2199814.75774502
"HLA-B",1574689.80271526
"CFL1",8947334.71824186
"RAP1B",2156675.16022988
"CTNNB1",17657901.084065
"DSG2",2117227.95712506
"HSPD1",2025190.97629372
"RTN4",2120246.57700047
"GNAI3",1624379.6886591
"ACTN4",1663538.75665462
"DDOST",2164079.23589292
"LGALS1",6000673.9775773
"ATP6V0A1",1985136.89329834
"ATP6V0D1",1381739.99346115
"ITGA11",1093892.21395065
"MDH2",5108246.99194405
"WDFY1",3498792.4429083
"ATP1B3",2323193.05319565
"RPN1",1652888.42389509
"TXNDC5",1771844.33190226
"GNB1",1390909.58692661
"ENO1",1293210.51304378
"RAB10",2807105.38694375
"CDH2",1237884.49737137
"CTSZ",1146023.82548179
"MYO1C",1892121.71486988
"TLN1",2448650.54909679
"PRKCSH",1861197.82063125
"GPC1",1047532.87291706
"ATP5A1",2587032.99899462
"CKAP4",1808862.92302045
"SLC16A1",4171454.81260449
"B4GALT1",1318966.15860234
"ACSL3",1554256.41069643
"SLC25A5",1086759.49565188
"MYL12A",2055396.45701788
"RAB11B",1566790.44203401
"ITGA3",2186866.46878975
"COL8A1",1115279.9682056
"TAGLN2",1100186.21977327
"ERP29",1416560.80198362
"STOM",1552958.61035417
"RAB7A",1376359.88838441
"GNB2",6244725.52568701
"LMBRD2",1758772.2905181
"PLS3",1905400.4034085
"ARL8A",1165948.0895431
"PDIA6",1812616.78695081
"HSD17B4",11470036.7989689
"TUFM",874323.47048079
"SLC25A4",489200.709694272
"VAMP8",170107.825574567
"PLA2G4A",94964.4025547287
"CPS1",1592594.76174988
"TUBA4A",133945.157009517
"ATP5B",119677.767224767
"OXCT1",187590.463444263
"PI4K2A",146118.598283743
"EPHX1",140471.041353913
"FSCN1",145344.838713223
"SLC2A13",134140.005981442
"ESYT1",144890.672114529
"SLC25A3",152685.160470768
"CD63",142396.167472585
"SLC16A3",125423.067117316
"SCAMP2",96871.9993896123
"SFT2D1",128110.817868784
"EEF2",173600.66118897
"PLD1",94488.54470454
"FOLR1",118254.235841007
"SPTBN1",155461.966149614
"PPT1",2721603.75248267
"MYOF",120176.573951197
"SHMT2",133959.777394161
"GNA14",142194.980372778
"LRRC59",104192.582844954
"ATP5H",160852.617105147
"SDHA",104345.715433254
"ARL8B",95394.5529377558
"CD59",105142.30079829
"VDAC2",96312.3098089837
"CCT2",124489.585979111
"RAB5C",114419.212361189
"RAB8A",164038.335542018
"RPS27A",1651327.02337437
"PDIA4",176315.290233548
"STOML2",126567.833940146
"SAR1A;SAR1B",97742.2451226868
"PHB",619586.295137882
"CTSD",115418.582183806
"GLS",85276.2529776552
"PLOD2",96945.7865585243
"RAB11A",136992.377419514
"ATP2A2",180529.262216853
"VDAC1",123062.995904541
"PHB2",80121.4216776331
"PRDX4",98295.712567259
"SNAP23",80561.9502413957
"CSE1L",117503.663532175
"GGT1",97712.4729583692
"CALU",190036.999442163
"YWHAZ",61841.0158888465
"HSPA5",102712.512340191
"CS",186204.575852297
"ANXA1",93023.8096233112
"SLC38A5",118953.553494606
"HDAC10",373734.402561036
"SDAD1",93732.7142113269
"HDLBP",83665.8149214667
"CDC42",1323965.74835237
"CACNA2D1",125749.697723197
"GPRC5A",66786.8265114602
"MARCKSL1",339638.747266733
"PGRMC1",107617.344240263
"HSP90AB2P",91642.9907813073
"NRAS",84070.8988838987
"GAPDH",95518.8888166167
"LDHA",138121.110841182
"SERINC1",82604.4327078309
"EPB41L2",83998.6620676412
"TMEM43",89652.3578192893
"HSP90AA1",87507.1641691564
"ASPH",87812.0347900226
"GLUD1",96635.9485635673
"HSPE1",239190.655507716
"MARCKS",75587.759082405
"PPIA",105595.669410432
"SLC9A3R2",92322.0066538252
"KTN1",78057.689989187
"GPR56",81538.4900118542
"DSP",151289.501343913
"RAB8B",94727.7046337368
"TNFRSF10A",213805.832959117
"ARFGAP1",280946.470864711
"CTNND1",87307.4073165014
"SPTAN1",201765.433640983
"GALNT2",84789.274876198
"GNAI1",83195.7465159836
"RHOA",76200.6384610927
"FAM129B",274661.371081665
"ATP2B1",84369.6495115171
"TMEM87A",83840.0775390972
"CYB5R3",103384.57588814
"IQGAP1",463116.000521621
"PGRMC2",106163.42230353
"PON2",68703.0130311479
"SERPINH1",79204.7281891066
"VCP",81251.201729211
"YES1",47345.0389064834
"CCT6A",75691.71891501
"UQCRC2",96252.3739561967
"H2AFY",79881.782339777
"EGFR",58485.9724486455
"PAICS",65186.3732274228
"CALD1",95143.7323611582
"TNC",85195.91087094
"RAB5A",88281.3719118643
"SLC12A4",78801.9028185659
"PTRF",60386.5938819239
"ALCAM",70742.3117989443
"GNS",267085.481658043
"LAMTOR1",99153.8875364409
"VAT1",59567.1355321134
"CCT4",80599.2866370088
"ATP5O",67052.4549641819
"L1CAM",63357.5088173543
"FH",208093.362313512
"AHNAK2",141179.511165979
"COLGALT1",75481.2737932446
"LCN1",73887.0078241664
"TPM3",80865.7292984418
"TRAP1",55017.0668206515
"SQSTM1",63786.7168917406
"PPIB",1036041.20297949
"HADHB",63811.8704199865
"CNP",75222.1721104007
"SRP54",934502.445410763
"BCAP31",632589.856970408
"EIF4E",80978.7200591017
"CRIP2",104145.681320371
"TPM4",182144.587063988
"XRCC5",81949.8296746153
"GNAS",51995.8680428935
"DIMT1",50013.510306221
"FERMT2",78813.3446615938
"TUBB6",62744.7466346081
"SLC7A11",92820.3496538989
