Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
588.042,105.735,482.307,110120,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_BIF1/
197.120,105.735,91.385,142641,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_BIF1/
1673.930,108.948,1564.982,110120,0,ATG9Cargo,02-Registered,postRapalog_ATG9_BIF1/
1042.730,108.948,933.781,142641,1,ATG9Cargo,02-Registered,postRapalog_ATG9_BIF1/
1434.951,106.241,1328.710,173948,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_BIF1/
449.873,106.241,343.632,233235,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_BIF1/
901.874,109.479,792.395,173948,0,ATG9Cargo,03-Registered,postRapalog_ATG9_BIF1/
509.186,109.479,399.707,233235,1,ATG9Cargo,03-Registered,postRapalog_ATG9_BIF1/
477.367,107.231,370.136,223597,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_BIF1/
183.385,107.231,76.154,322637,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_BIF1/
733.502,113.100,620.402,223597,0,ATG9Cargo,07-Registered,postRapalog_ATG9_BIF1/
434.055,113.100,320.955,322637,1,ATG9Cargo,07-Registered,postRapalog_ATG9_BIF1/
469.628,105.797,363.831,180848,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_BIF1/
181.964,105.797,76.167,238675,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_BIF1/
1231.278,112.626,1118.652,180848,0,ATG9Cargo,08-Registered,postRapalog_ATG9_BIF1/
781.287,112.626,668.660,238675,1,ATG9Cargo,08-Registered,postRapalog_ATG9_BIF1/
456.420,105.974,350.445,255404,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_BIF1/
196.503,105.974,90.528,326157,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_BIF1/
854.869,111.029,743.841,255404,0,ATG9Cargo,09-Registered,postRapalog_ATG9_BIF1/
534.780,111.029,423.752,326157,1,ATG9Cargo,09-Registered,postRapalog_ATG9_BIF1/
473.537,106.975,366.562,233607,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_BIF1/
227.156,106.975,120.181,429942,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_BIF1/
679.738,111.205,568.532,233607,0,ATG9Cargo,10-Registered,postRapalog_ATG9_BIF1/
447.447,111.205,336.242,429942,1,ATG9Cargo,10-Registered,postRapalog_ATG9_BIF1/
466.574,105.416,361.158,166016,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_BIF1/
204.449,105.416,99.033,232795,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_BIF1/
565.307,107.650,457.657,166016,0,ATG9Cargo,11-Registered,postRapalog_ATG9_BIF1/
351.294,107.650,243.644,232795,1,ATG9Cargo,11-Registered,postRapalog_ATG9_BIF1/
713.539,106.143,607.396,265357,0,FKBPTagPOI,12-Registered,postRapalog_ATG9_BIF1/
259.453,106.143,153.310,410571,1,FKBPTagPOI,12-Registered,postRapalog_ATG9_BIF1/
549.806,107.920,441.886,265357,0,ATG9Cargo,12-Registered,postRapalog_ATG9_BIF1/
335.992,107.920,228.072,410571,1,ATG9Cargo,12-Registered,postRapalog_ATG9_BIF1/
403.922,106.367,297.555,285194,0,FKBPTagPOI,13-Registered,postRapalog_ATG9_BIF1/
175.566,106.367,69.199,348639,1,FKBPTagPOI,13-Registered,postRapalog_ATG9_BIF1/
721.657,109.514,612.144,285194,0,ATG9Cargo,13-Registered,postRapalog_ATG9_BIF1/
404.914,109.514,295.400,348639,1,ATG9Cargo,13-Registered,postRapalog_ATG9_BIF1/
512.384,106.465,405.919,167506,0,FKBPTagPOI,14-Registered,postRapalog_ATG9_BIF1/
165.063,106.465,58.597,293899,1,FKBPTagPOI,14-Registered,postRapalog_ATG9_BIF1/
1174.371,109.054,1065.317,167506,0,ATG9Cargo,14-Registered,postRapalog_ATG9_BIF1/
606.571,109.054,497.518,293899,1,ATG9Cargo,14-Registered,postRapalog_ATG9_BIF1/
1384.263,105.996,1278.268,188569,0,FKBPTagPOI,15-Registered,postRapalog_ATG9_BIF1/
438.885,105.996,332.889,286668,1,FKBPTagPOI,15-Registered,postRapalog_ATG9_BIF1/
1034.093,109.334,924.759,188569,0,ATG9Cargo,15-Registered,postRapalog_ATG9_BIF1/
