 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
1,478.93,106.33,372.61,259697,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
2,172.71,106.33,66.38,299132,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
3,1822.52,111.39,1711.13,259697,0,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
4,736.75,111.39,625.36,299132,1,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
5,586.83,105.75,481.08,171328,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
6,232.01,105.75,126.26,216485,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
7,1498.25,107.85,1390.40,171328,0,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
8,678.68,107.85,570.84,216485,1,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
9,452.03,106.17,345.86,278824,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
10,170.87,106.17,64.69,331668,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
11,1001.16,112.00,889.16,278824,0,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
12,442.37,112.00,330.36,331668,1,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
13,2047.42,106.40,1941.02,109838,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
14,404.52,106.40,298.12,179296,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
15,3103.36,109.43,2993.93,109838,0,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
16,985.04,109.43,875.62,179296,1,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
17,952.04,105.43,846.62,221262,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
18,278.74,105.43,173.32,319984,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
19,1295.93,107.22,1188.71,221262,0,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
20,532.24,107.22,425.02,319984,1,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
21,537.80,105.42,432.38,189277,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
22,263.19,105.42,157.78,266699,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
23,1703.86,107.45,1596.41,189277,0,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
24,1040.66,107.45,933.21,266699,1,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
25,601.13,106.09,495.03,233102,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
26,239.45,106.09,133.36,260083,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
27,1227.24,109.51,1117.73,233102,0,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
28,759.36,109.51,649.85,260083,1,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
29,226.87,105.80,121.07,271580,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_DAGLB/
