 ,Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
1,1204.39,210.32,994.07,93122,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
2,420.66,210.32,210.34,151060,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_DAGLB/
3,693.15,128.19,564.95,93122,0,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
4,266.54,128.19,138.35,151060,1,ATG9Cargo,01-Registered,postRapalog_ATG9_DAGLB/
5,352.10,212.34,139.76,153736,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
6,285.47,212.34,73.13,278993,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_DAGLB/
7,398.91,124.92,273.99,153736,0,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
8,215.49,124.92,90.57,278993,1,ATG9Cargo,02-Registered,postRapalog_ATG9_DAGLB/
9,868.06,213.61,654.44,173049,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
10,362.17,213.61,148.56,244578,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_DAGLB/
11,487.25,126.25,361.00,173049,0,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
12,244.59,126.25,118.34,244578,1,ATG9Cargo,03-Registered,postRapalog_ATG9_DAGLB/
13,474.74,209.89,264.85,255550,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
14,286.25,209.89,76.37,314612,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_DAGLB/
15,403.67,125.74,277.93,255550,0,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
16,226.08,125.74,100.34,314612,1,ATG9Cargo,04-Registered,postRapalog_ATG9_DAGLB/
17,1330.65,206.65,1124.00,102816,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
18,422.39,206.65,215.74,124808,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_DAGLB/
19,530.71,124.19,406.52,102816,0,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
20,300.36,124.19,176.18,124808,1,ATG9Cargo,05-Registered,postRapalog_ATG9_DAGLB/
21,1118.63,205.92,912.71,142209,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
22,436.23,205.92,230.30,247369,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_DAGLB/
23,599.95,124.12,475.83,142209,0,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
24,278.93,124.12,154.80,247369,1,ATG9Cargo,06-Registered,postRapalog_ATG9_DAGLB/
25,754.37,206.70,547.67,212044,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
26,347.47,206.70,140.77,249743,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_DAGLB/
27,798.12,124.82,673.30,212044,0,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
28,309.03,124.82,184.21,249743,1,ATG9Cargo,07-Registered,postRapalog_ATG9_DAGLB/
29,483.68,210.00,273.68,178096,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_DAGLB/
30,277.96,210.00,67.95,247520,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_DAGLB/
31,362.61,124.82,237.79,178096,0,ATG9Cargo,08-Registered,postRapalog_ATG9_DAGLB/
32,197.11,124.82,72.29,247520,1,ATG9Cargo,08-Registered,postRapalog_ATG9_DAGLB/
33,453.68,210.04,243.64,223929,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_DAGLB/
34,272.91,210.04,62.87,280723,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_DAGLB/
35,334.37,128.40,205.97,223929,0,ATG9Cargo,09-Registered,postRapalog_ATG9_DAGLB/
36,187.03,128.40,58.62,280723,1,ATG9Cargo,09-Registered,postRapalog_ATG9_DAGLB/
37,489.46,217.39,272.08,115647,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_DAGLB/
38,254.24,217.39,36.86,247140,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_DAGLB/
39,518.15,124.54,393.61,115647,0,ATG9Cargo,10-Registered,postRapalog_ATG9_DAGLB/
40,204.07,124.54,79.53,247140,1,ATG9Cargo,10-Registered,postRapalog_ATG9_DAGLB/
41,621.59,211.70,409.89,258184,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_DAGLB/
42,382.46,211.70,170.76,278810,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_DAGLB/
43,332.35,126.03,206.32,258184,0,ATG9Cargo,11-Registered,postRapalog_ATG9_DAGLB/
44,207.23,126.03,81.20,278810,1,ATG9Cargo,11-Registered,postRapalog_ATG9_DAGLB/
45,1640.38,216.48,1423.90,90307,0,FKBPTagPOI,12-Registered,postRapalog_ATG9_DAGLB/
46,389.08,216.48,172.60,169599,1,FKBPTagPOI,12-Registered,postRapalog_ATG9_DAGLB/
47,1071.90,123.96,947.94,90307,0,ATG9Cargo,12-Registered,postRapalog_ATG9_DAGLB/
48,304.36,123.96,180.39,169599,1,ATG9Cargo,12-Registered,postRapalog_ATG9_DAGLB/
49,2640.56,217.23,2423.33,97735,0,FKBPTagPOI,13-Registered,postRapalog_ATG9_DAGLB/
50,658.96,217.23,441.73,155281,1,FKBPTagPOI,13-Registered,postRapalog_ATG9_DAGLB/
51,757.76,128.11,629.65,97735,0,ATG9Cargo,13-Registered,postRapalog_ATG9_DAGLB/
52,251.43,128.11,123.32,155281,1,ATG9Cargo,13-Registered,postRapalog_ATG9_DAGLB/
53,1343.30,216.15,1127.15,109005,0,FKBPTagPOI,14-Registered,postRapalog_ATG9_DAGLB/
54,489.01,216.15,272.86,136130,1,FKBPTagPOI,14-Registered,postRapalog_ATG9_DAGLB/
55,407.45,129.22,278.23,109005,0,ATG9Cargo,14-Registered,postRapalog_ATG9_DAGLB/
56,212.10,129.22,82.88,136130,1,ATG9Cargo,14-Registered,postRapalog_ATG9_DAGLB/
57,442.95,213.66,229.30,201493,0,FKBPTagPOI,15-Registered,postRapalog_ATG9_DAGLB/
58,265.07,213.66,51.41,257269,1,FKBPTagPOI,15-Registered,postRapalog_ATG9_DAGLB/
59,605.53,126.38,479.15,201493,0,ATG9Cargo,15-Registered,postRapalog_ATG9_DAGLB/
60,276.20,126.38,149.83,257269,1,ATG9Cargo,15-Registered,postRapalog_ATG9_DAGLB/
61,1353.64,209.31,1144.33,62370,0,FKBPTagPOI,16-Registered,postRapalog_ATG9_DAGLB/
62,545.46,209.31,336.15,91089,1,FKBPTagPOI,16-Registered,postRapalog_ATG9_DAGLB/
63,701.29,125.53,575.75,62370,0,ATG9Cargo,16-Registered,postRapalog_ATG9_DAGLB/
64,335.18,125.53,209.64,91089,1,ATG9Cargo,16-Registered,postRapalog_ATG9_DAGLB/
65,716.42,210.24,506.18,191056,0,FKBPTagPOI,17-Registered,postRapalog_ATG9_DAGLB/
66,332.15,210.24,121.91,237132,1,FKBPTagPOI,17-Registered,postRapalog_ATG9_DAGLB/
67,541.47,126.40,415.07,191056,0,ATG9Cargo,17-Registered,postRapalog_ATG9_DAGLB/
68,298.94,126.40,172.54,237132,1,ATG9Cargo,17-Registered,postRapalog_ATG9_DAGLB/
69,372.05,105.08,266.97,178695,0,FKBPTagPOI,01-Registered,postRapalog_EmptyV_DAGLB/
70,180.80,105.08,75.73,269119,1,FKBPTagPOI,01-Registered,postRapalog_EmptyV_DAGLB/
71,254.81,106.91,147.89,178695,0,ATG9Cargo,01-Registered,postRapalog_EmptyV_DAGLB/
72,229.91,106.91,122.99,269119,1,ATG9Cargo,01-Registered,postRapalog_EmptyV_DAGLB/
73,160.56,105.64,54.91,298434,0,FKBPTagPOI,02-Registered,postRapalog_EmptyV_DAGLB/
74,114.52,105.64,8.87,451943,1,FKBPTagPOI,02-Registered,postRapalog_EmptyV_DAGLB/
75,200.78,108.20,92.58,298434,0,ATG9Cargo,02-Registered,postRapalog_EmptyV_DAGLB/
76,153.29,108.20,45.09,451943,1,ATG9Cargo,02-Registered,postRapalog_EmptyV_DAGLB/
77,195.11,105.45,89.66,334835,0,FKBPTagPOI,03-Registered,postRapalog_EmptyV_DAGLB/
78,135.99,105.45,30.54,302355,1,FKBPTagPOI,03-Registered,postRapalog_EmptyV_DAGLB/
79,332.28,108.70,223.58,334835,0,ATG9Cargo,03-Registered,postRapalog_EmptyV_DAGLB/
80,268.13,108.70,159.44,302355,1,ATG9Cargo,03-Registered,postRapalog_EmptyV_DAGLB/
81,279.58,105.52,174.06,273285,0,FKBPTagPOI,04-Registered,postRapalog_EmptyV_DAGLB/
82,149.63,105.52,44.11,292760,1,FKBPTagPOI,04-Registered,postRapalog_EmptyV_DAGLB/
83,657.92,111.21,546.71,273285,0,ATG9Cargo,04-Registered,postRapalog_EmptyV_DAGLB/
84,355.51,111.21,244.30,292760,1,ATG9Cargo,04-Registered,postRapalog_EmptyV_DAGLB/
85,183.33,104.92,78.41,187425,0,FKBPTagPOI,05-Registered,postRapalog_EmptyV_DAGLB/
86,132.46,104.92,27.54,290476,1,FKBPTagPOI,05-Registered,postRapalog_EmptyV_DAGLB/
87,484.33,107.90,376.43,187425,0,ATG9Cargo,05-Registered,postRapalog_EmptyV_DAGLB/
88,331.36,107.90,223.46,290476,1,ATG9Cargo,05-Registered,postRapalog_EmptyV_DAGLB/
89,236.85,105.87,130.98,236339,0,FKBPTagPOI,06-Registered,postRapalog_EmptyV_DAGLB/
90,218.84,105.87,112.97,357391,1,FKBPTagPOI,06-Registered,postRapalog_EmptyV_DAGLB/
91,449.24,108.12,341.12,236339,0,ATG9Cargo,06-Registered,postRapalog_EmptyV_DAGLB/
92,330.16,108.12,222.03,357391,1,ATG9Cargo,06-Registered,postRapalog_EmptyV_DAGLB/
93,212.70,104.97,107.72,259749,0,FKBPTagPOI,07-Registered,postRapalog_EmptyV_DAGLB/
94,139.95,104.97,34.98,246108,1,FKBPTagPOI,07-Registered,postRapalog_EmptyV_DAGLB/
95,552.88,106.69,446.18,259749,0,ATG9Cargo,07-Registered,postRapalog_EmptyV_DAGLB/
96,404.26,106.69,297.57,246108,1,ATG9Cargo,07-Registered,postRapalog_EmptyV_DAGLB/
97,200.00,106.21,93.79,316485,0,FKBPTagPOI,08-Registered,postRapalog_EmptyV_DAGLB/
98,134.60,106.21,28.39,349466,1,FKBPTagPOI,08-Registered,postRapalog_EmptyV_DAGLB/
99,633.31,111.30,522.01,316485,0,ATG9Cargo,08-Registered,postRapalog_EmptyV_DAGLB/
100,453.61,111.30,342.31,349466,1,ATG9Cargo,08-Registered,postRapalog_EmptyV_DAGLB/
101,433.79,105.56,328.22,229027,0,FKBPTagPOI,09-Registered,postRapalog_EmptyV_DAGLB/
102,160.14,105.56,54.58,300357,1,FKBPTagPOI,09-Registered,postRapalog_EmptyV_DAGLB/
103,579.06,107.91,471.15,229027,0,ATG9Cargo,09-Registered,postRapalog_EmptyV_DAGLB/
104,305.28,107.91,197.37,300357,1,ATG9Cargo,09-Registered,postRapalog_EmptyV_DAGLB/
105,333.96,108.39,225.56,323379,0,FKBPTagPOI,10-Registered,postRapalog_EmptyV_DAGLB/
106,210.43,108.39,102.04,328998,1,FKBPTagPOI,10-Registered,postRapalog_EmptyV_DAGLB/
107,390.46,113.71,276.76,323379,0,ATG9Cargo,10-Registered,postRapalog_EmptyV_DAGLB/
108,332.60,113.71,218.89,328998,1,ATG9Cargo,10-Registered,postRapalog_EmptyV_DAGLB/
109,197.61,106.15,91.46,133016,0,FKBPTagPOI,11-Registered,postRapalog_EmptyV_DAGLB/
110,139.79,106.15,33.64,199553,1,FKBPTagPOI,11-Registered,postRapalog_EmptyV_DAGLB/
111,483.10,107.80,375.31,133016,0,ATG9Cargo,11-Registered,postRapalog_EmptyV_DAGLB/
112,296.29,107.80,188.50,199553,1,ATG9Cargo,11-Registered,postRapalog_EmptyV_DAGLB/
113,229.26,106.02,123.24,229332,0,FKBPTagPOI,12-Registered,postRapalog_EmptyV_DAGLB/
114,128.05,106.02,22.03,243163,1,FKBPTagPOI,12-Registered,postRapalog_EmptyV_DAGLB/
115,621.17,111.61,509.56,229332,0,ATG9Cargo,12-Registered,postRapalog_EmptyV_DAGLB/
116,491.03,111.61,379.42,243163,1,ATG9Cargo,12-Registered,postRapalog_EmptyV_DAGLB/
117,229.09,106.01,123.07,352687,0,FKBPTagPOI,13-Registered,postRapalog_EmptyV_DAGLB/
118,147.08,106.01,41.07,346951,1,FKBPTagPOI,13-Registered,postRapalog_EmptyV_DAGLB/
