Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
311.341,105.910,205.431,257381,0,FKBPTagPOI,01-Registered,postRapalog_TPDmut_PI4K2a/
166.852,105.910,60.942,379841,1,FKBPTagPOI,01-Registered,postRapalog_TPDmut_PI4K2a/
185.568,105.148,80.419,257381,0,ATG9Cargo,01-Registered,postRapalog_TPDmut_PI4K2a/
150.837,105.148,45.689,379841,1,ATG9Cargo,01-Registered,postRapalog_TPDmut_PI4K2a/
547.523,104.374,443.149,70366,0,FKBPTagPOI,02-Registered,postRapalog_TPDmut_PI4K2a/
161.241,104.374,56.867,177748,1,FKBPTagPOI,02-Registered,postRapalog_TPDmut_PI4K2a/
743.791,105.595,638.196,70366,0,ATG9Cargo,02-Registered,postRapalog_TPDmut_PI4K2a/
336.455,105.595,230.860,177748,1,ATG9Cargo,02-Registered,postRapalog_TPDmut_PI4K2a/
1053.877,105.271,948.606,138643,0,FKBPTagPOI,03-Registered,postRapalog_TPDmut_PI4K2a/
331.592,105.271,226.321,214662,1,FKBPTagPOI,03-Registered,postRapalog_TPDmut_PI4K2a/
299.587,104.823,194.764,138643,0,ATG9Cargo,03-Registered,postRapalog_TPDmut_PI4K2a/
311.634,104.823,206.811,214662,1,ATG9Cargo,03-Registered,postRapalog_TPDmut_PI4K2a/
310.819,103.584,207.235,162902,0,FKBPTagPOI,04-Registered,postRapalog_TPDmut_PI4K2a/
139.549,103.584,35.965,233374,1,FKBPTagPOI,04-Registered,postRapalog_TPDmut_PI4K2a/
211.393,103.366,108.027,162902,0,ATG9Cargo,04-Registered,postRapalog_TPDmut_PI4K2a/
217.308,103.366,113.942,233374,1,ATG9Cargo,04-Registered,postRapalog_TPDmut_PI4K2a/
512.097,105.386,406.711,350249,0,FKBPTagPOI,05-Registered,postRapalog_TPDmut_PI4K2a/
223.676,105.386,118.290,419081,1,FKBPTagPOI,05-Registered,postRapalog_TPDmut_PI4K2a/
174.151,103.490,70.661,350249,0,ATG9Cargo,05-Registered,postRapalog_TPDmut_PI4K2a/
177.487,103.490,73.996,419081,1,ATG9Cargo,05-Registered,postRapalog_TPDmut_PI4K2a/
583.655,103.814,479.841,321859,0,FKBPTagPOI,06-Registered,postRapalog_TPDmut_PI4K2a/
325.348,103.814,221.534,451110,1,FKBPTagPOI,06-Registered,postRapalog_TPDmut_PI4K2a/
157.543,103.300,54.244,321859,0,ATG9Cargo,06-Registered,postRapalog_TPDmut_PI4K2a/
142.579,103.300,39.280,451110,1,ATG9Cargo,06-Registered,postRapalog_TPDmut_PI4K2a/
417.751,104.316,313.435,142248,0,FKBPTagPOI,07-Registered,postRapalog_TPDmut_PI4K2a/
158.808,104.316,54.493,246610,1,FKBPTagPOI,07-Registered,postRapalog_TPDmut_PI4K2a/
1053.935,104.462,949.473,142248,0,ATG9Cargo,07-Registered,postRapalog_TPDmut_PI4K2a/
798.980,104.462,694.518,246610,1,ATG9Cargo,07-Registered,postRapalog_TPDmut_PI4K2a/
424.944,104.040,320.904,156612,0,FKBPTagPOI,08-Registered,postRapalog_TPDmut_PI4K2a/
177.764,104.040,73.723,200872,1,FKBPTagPOI,08-Registered,postRapalog_TPDmut_PI4K2a/
477.481,104.383,373.099,156612,0,ATG9Cargo,08-Registered,postRapalog_TPDmut_PI4K2a/
404.017,104.383,299.634,200872,1,ATG9Cargo,08-Registered,postRapalog_TPDmut_PI4K2a/
257.576,109.113,148.463,191510,0,FKBPTagPOI,09-Registered,postRapalog_TPDmut_PI4K2a/
147.391,109.113,38.278,249316,1,FKBPTagPOI,09-Registered,postRapalog_TPDmut_PI4K2a/
231.029,109.349,121.680,191510,0,ATG9Cargo,09-Registered,postRapalog_TPDmut_PI4K2a/
212.209,109.349,102.860,249316,1,ATG9Cargo,09-Registered,postRapalog_TPDmut_PI4K2a/
304.739,105.290,199.449,174394,0,FKBPTagPOI,10-Registered,postRapalog_TPDmut_PI4K2a/
146.238,105.290,40.948,233980,1,FKBPTagPOI,10-Registered,postRapalog_TPDmut_PI4K2a/
196.852,105.349,91.503,174394,0,ATG9Cargo,10-Registered,postRapalog_TPDmut_PI4K2a/
177.877,105.349,72.528,233980,1,ATG9Cargo,10-Registered,postRapalog_TPDmut_PI4K2a/
233.381,106.238,127.143,221463,0,FKBPTagPOI,11-Registered,postRapalog_TPDmut_PI4K2a/
138.847,106.238,32.609,263306,1,FKBPTagPOI,11-Registered,postRapalog_TPDmut_PI4K2a/
226.778,108.779,117.999,221463,0,ATG9Cargo,11-Registered,postRapalog_TPDmut_PI4K2a/
198.046,108.779,89.267,263306,1,ATG9Cargo,11-Registered,postRapalog_TPDmut_PI4K2a/
1070.860,105.969,964.892,163086,0,FKBPTagPOI,12-Registered,postRapalog_TPDmut_PI4K2a/
245.046,105.969,139.077,225776,1,FKBPTagPOI,12-Registered,postRapalog_TPDmut_PI4K2a/
250.664,104.768,145.896,163086,0,ATG9Cargo,12-Registered,postRapalog_TPDmut_PI4K2a/
205.891,104.768,101.123,225776,1,ATG9Cargo,12-Registered,postRapalog_TPDmut_PI4K2a/
418.733,107.086,311.647,199212,0,FKBPTagPOI,13-Registered,postRapalog_TPDmut_PI4K2a/
220.780,107.086,113.694,241974,1,FKBPTagPOI,13-Registered,postRapalog_TPDmut_PI4K2a/
444.053,108.140,335.912,199212,0,ATG9Cargo,13-Registered,postRapalog_TPDmut_PI4K2a/
361.128,108.140,252.987,241974,1,ATG9Cargo,13-Registered,postRapalog_TPDmut_PI4K2a/
755.709,105.322,650.388,275504,0,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K2a/
247.905,105.322,142.583,420733,1,FKBPTagPOI,14-Registered,postRapalog_TPDmut_PI4K2a/
449.097,107.250,341.847,275504,0,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K2a/
406.909,107.250,299.659,420733,1,ATG9Cargo,14-Registered,postRapalog_TPDmut_PI4K2a/
1040.059,105.909,934.151,166719,0,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K2a/
275.861,105.909,169.952,242082,1,FKBPTagPOI,15-Registered,postRapalog_TPDmut_PI4K2a/
1049.110,108.194,940.916,166719,0,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K2a/
749.911,108.194,641.717,242082,1,ATG9Cargo,15-Registered,postRapalog_TPDmut_PI4K2a/
664.765,105.746,559.020,210014,0,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K2a/
264.053,105.746,158.308,282612,1,FKBPTagPOI,16-Registered,postRapalog_TPDmut_PI4K2a/
1150.652,107.103,1043.550,210014,0,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K2a/
845.847,107.103,738.744,282612,1,ATG9Cargo,16-Registered,postRapalog_TPDmut_PI4K2a/
474.169,104.670,369.499,234802,0,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K2a/
179.193,104.670,74.523,338356,1,FKBPTagPOI,17-Registered,postRapalog_TPDmut_PI4K2a/
1464.649,104.901,1359.748,234802,0,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K2a/
777.257,104.901,672.357,338356,1,ATG9Cargo,17-Registered,postRapalog_TPDmut_PI4K2a/
301.428,107.124,194.305,287051,0,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K2a/
177.188,107.124,70.064,392673,1,FKBPTagPOI,18-Registered,postRapalog_TPDmut_PI4K2a/
166.310,106.567,59.743,287051,0,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K2a/
148.572,106.567,42.005,392673,1,ATG9Cargo,18-Registered,postRapalog_TPDmut_PI4K2a/
504.849,105.300,399.549,322159,0,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K2a/
227.200,105.300,121.899,348813,1,FKBPTagPOI,19-Registered,postRapalog_TPDmut_PI4K2a/
212.808,105.507,107.300,322159,0,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K2a/
190.734,105.507,85.227,348813,1,ATG9Cargo,19-Registered,postRapalog_TPDmut_PI4K2a/
537.129,106.085,431.045,250846,0,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K2a/
219.121,106.085,113.037,345438,1,FKBPTagPOI,20-Registered,postRapalog_TPDmut_PI4K2a/
255.265,110.460,144.805,250846,0,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K2a/
245.844,110.460,135.384,345438,1,ATG9Cargo,20-Registered,postRapalog_TPDmut_PI4K2a/
534.555,107.047,427.508,283171,0,FKBPTagPOI,21-Registered,postRapalog_TPDmut_PI4K2a/
193.791,107.047,86.744,261013,1,FKBPTagPOI,21-Registered,postRapalog_TPDmut_PI4K2a/
373.850,106.759,267.091,283171,0,ATG9Cargo,21-Registered,postRapalog_TPDmut_PI4K2a/
262.899,106.759,156.140,261013,1,ATG9Cargo,21-Registered,postRapalog_TPDmut_PI4K2a/
736.956,106.070,630.887,259362,0,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K2a/
230.721,106.070,124.651,393355,1,FKBPTagPOI,22-Registered,postRapalog_TPDmut_PI4K2a/
414.420,107.598,306.821,259362,0,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K2a/
343.766,107.598,236.167,393355,1,ATG9Cargo,22-Registered,postRapalog_TPDmut_PI4K2a/
326.335,105.756,220.578,277976,0,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K2a/
163.200,105.756,57.444,407404,1,FKBPTagPOI,23-Registered,postRapalog_TPDmut_PI4K2a/
797.759,106.492,691.267,277976,0,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K2a/
590.234,106.492,483.742,407404,1,ATG9Cargo,23-Registered,postRapalog_TPDmut_PI4K2a/
362.633,103.612,259.020,312980,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
154.844,103.612,51.232,340818,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K2a/
265.087,105.061,160.026,312980,0,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
183.746,105.061,78.685,340818,1,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K2a/
355.816,104.074,251.742,247738,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
176.195,104.074,72.121,282207,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K2a/
412.659,105.967,306.692,247738,0,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K2a/
