Mean,BG,Mean-BG,Area,Slice,Channel,Filename,Condition
220.090,104.448,115.642,183831,0,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K3b/
133.195,104.448,28.747,213836,1,FKBPTagPOI,01-Registered,postRapalog_ATG9_PI4K3b/
1078.360,108.656,969.704,183831,0,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K3b/
528.207,108.656,419.551,213836,1,ATG9Cargo,01-Registered,postRapalog_ATG9_PI4K3b/
300.479,105.063,195.416,346692,0,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K3b/
156.929,105.063,51.866,279731,1,FKBPTagPOI,02-Registered,postRapalog_ATG9_PI4K3b/
974.929,109.245,865.684,346692,0,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K3b/
553.104,109.245,443.859,279731,1,ATG9Cargo,02-Registered,postRapalog_ATG9_PI4K3b/
216.158,104.906,111.253,208708,0,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K3b/
128.294,104.906,23.389,223120,1,FKBPTagPOI,03-Registered,postRapalog_ATG9_PI4K3b/
659.278,109.026,550.251,208708,0,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K3b/
365.863,109.026,256.836,223120,1,ATG9Cargo,03-Registered,postRapalog_ATG9_PI4K3b/
424.501,105.626,318.875,176138,0,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K3b/
184.213,105.626,78.587,226868,1,FKBPTagPOI,04-Registered,postRapalog_ATG9_PI4K3b/
1415.240,111.216,1304.024,176138,0,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K3b/
932.776,111.216,821.560,226868,1,ATG9Cargo,04-Registered,postRapalog_ATG9_PI4K3b/
346.317,105.286,241.032,156151,0,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K3b/
136.658,105.286,31.372,208170,1,FKBPTagPOI,05-Registered,postRapalog_ATG9_PI4K3b/
1062.787,111.733,951.054,156151,0,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K3b/
600.881,111.733,489.148,208170,1,ATG9Cargo,05-Registered,postRapalog_ATG9_PI4K3b/
183.596,104.948,78.648,138573,0,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K3b/
121.430,104.948,16.482,102285,1,FKBPTagPOI,06-Registered,postRapalog_ATG9_PI4K3b/
304.940,108.318,196.622,138573,0,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K3b/
221.247,108.318,112.929,102285,1,ATG9Cargo,06-Registered,postRapalog_ATG9_PI4K3b/
204.291,107.556,96.735,335872,0,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K3b/
130.008,107.556,22.452,402731,1,FKBPTagPOI,07-Registered,postRapalog_ATG9_PI4K3b/
601.287,114.722,486.566,335872,0,ATG9Cargo,07-Registered,postRapalog_ATG9_PI4K3b/
335.125,114.722,220.404,402731,1,ATG9Cargo,07-Registered,postRapalog_ATG9_PI4K3b/
419.465,104.870,314.595,243833,0,FKBPTagPOI,08-Registered,postRapalog_ATG9_PI4K3b/
178.221,104.870,73.351,311736,1,FKBPTagPOI,08-Registered,postRapalog_ATG9_PI4K3b/
721.782,108.353,613.429,243833,0,ATG9Cargo,08-Registered,postRapalog_ATG9_PI4K3b/
484.869,108.353,376.515,311736,1,ATG9Cargo,08-Registered,postRapalog_ATG9_PI4K3b/
211.909,105.834,106.074,314778,0,FKBPTagPOI,09-Registered,postRapalog_ATG9_PI4K3b/
123.305,105.834,17.471,318906,1,FKBPTagPOI,09-Registered,postRapalog_ATG9_PI4K3b/
618.844,111.004,507.840,314778,0,ATG9Cargo,09-Registered,postRapalog_ATG9_PI4K3b/
415.141,111.004,304.137,318906,1,ATG9Cargo,09-Registered,postRapalog_ATG9_PI4K3b/
935.057,105.098,829.960,189778,0,FKBPTagPOI,10-Registered,postRapalog_ATG9_PI4K3b/
209.356,105.098,104.259,258940,1,FKBPTagPOI,10-Registered,postRapalog_ATG9_PI4K3b/
1403.097,108.648,1294.449,189778,0,ATG9Cargo,10-Registered,postRapalog_ATG9_PI4K3b/
752.494,108.648,643.846,258940,1,ATG9Cargo,10-Registered,postRapalog_ATG9_PI4K3b/
552.184,105.107,447.077,125256,0,FKBPTagPOI,11-Registered,postRapalog_ATG9_PI4K3b/
176.856,105.107,71.749,139424,1,FKBPTagPOI,11-Registered,postRapalog_ATG9_PI4K3b/
3206.379,109.162,3097.217,125256,0,ATG9Cargo,11-Registered,postRapalog_ATG9_PI4K3b/
2061.508,109.162,1952.346,139424,1,ATG9Cargo,11-Registered,postRapalog_ATG9_PI4K3b/
1207.167,106.002,1101.164,139809,0,FKBPTagPOI,12-Registered,postRapalog_ATG9_PI4K3b/
334.963,106.002,228.960,204789,1,FKBPTagPOI,12-Registered,postRapalog_ATG9_PI4K3b/
1835.912,111.699,1724.213,139809,0,ATG9Cargo,12-Registered,postRapalog_ATG9_PI4K3b/
1334.495,111.699,1222.796,204789,1,ATG9Cargo,12-Registered,postRapalog_ATG9_PI4K3b/
326.265,105.146,221.120,273406,0,FKBPTagPOI,13-Registered,postRapalog_ATG9_PI4K3b/
136.529,105.146,31.384,329909,1,FKBPTagPOI,13-Registered,postRapalog_ATG9_PI4K3b/
511.710,108.889,402.821,273406,0,ATG9Cargo,13-Registered,postRapalog_ATG9_PI4K3b/
349.596,108.889,240.707,329909,1,ATG9Cargo,13-Registered,postRapalog_ATG9_PI4K3b/
968.881,106.273,862.608,145703,0,FKBPTagPOI,14-Registered,postRapalog_ATG9_PI4K3b/
210.343,106.273,104.070,201573,1,FKBPTagPOI,14-Registered,postRapalog_ATG9_PI4K3b/
2894.385,110.384,2784.001,145703,0,ATG9Cargo,14-Registered,postRapalog_ATG9_PI4K3b/
