




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	bg.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	bg.txt - REFLIST (2980)	Client Text Box Input (509)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
chaperone-mediated protein folding (GO:0061077)	37	23	6.32	+	3.64	4.33E-06	1.46E-03
cell recognition (GO:0008037)	27	16	4.61	+	3.47	1.93E-04	2.10E-02
positive regulation of protein kinase B signaling (GO:0051897)	24	14	4.10	+	3.42	5.46E-04	4.22E-02
import across plasma membrane (GO:0098739)	28	16	4.78	+	3.35	2.63E-04	2.59E-02
cell-matrix adhesion (GO:0007160)	35	19	5.98	+	3.18	1.18E-04	1.55E-02
integrin-mediated signaling pathway (GO:0007229)	30	16	5.12	+	3.12	4.72E-04	3.82E-02
regulation of protein kinase B signaling (GO:0051896)	35	18	5.98	+	3.01	2.97E-04	2.75E-02
positive regulation of cell-substrate adhesion (GO:0010811)	35	18	5.98	+	3.01	2.97E-04	2.73E-02
protein folding (GO:0006457)	92	45	15.71	+	2.86	3.55E-08	4.49E-05
cell-substrate adhesion (GO:0031589)	46	21	7.86	+	2.67	3.61E-04	3.12E-02
regulation of cell-substrate adhesion (GO:0010810)	55	25	9.39	+	2.66	1.41E-04	1.76E-02
protein localization to plasma membrane (GO:0072659)	52	23	8.88	+	2.59	3.45E-04	3.01E-02
establishment or maintenance of cell polarity (GO:0007163)	72	31	12.30	+	2.52	4.57E-05	8.40E-03
cell-cell adhesion (GO:0098609)	103	43	17.59	+	2.44	3.12E-06	1.09E-03
protein localization to cell periphery (GO:1990778)	60	25	10.25	+	2.44	4.47E-04	3.65E-02
inorganic cation transmembrane transport (GO:0098662)	83	34	14.18	+	2.40	4.30E-05	8.05E-03
inorganic ion transmembrane transport (GO:0098660)	91	37	15.54	+	2.38	1.84E-05	4.54E-03
monoatomic cation transmembrane transport (GO:0098655)	84	34	14.35	+	2.37	4.83E-05	8.42E-03
circulatory system process (GO:0003013)	86	34	14.69	+	2.31	6.35E-05	1.02E-02
regulation of monoatomic ion transport (GO:0043269)	75	29	12.81	+	2.26	3.36E-04	2.98E-02
protein stabilization (GO:0050821)	83	32	14.18	+	2.26	2.15E-04	2.25E-02
cell adhesion (GO:0007155)	186	71	31.77	+	2.23	1.96E-08	2.84E-05
monoatomic cation transport (GO:0006812)	111	42	18.96	+	2.22	2.98E-05	6.28E-03
monoatomic ion transmembrane transport (GO:0034220)	106	40	18.11	+	2.21	3.59E-05	7.25E-03
cellular response to organic cyclic compound (GO:0071407)	100	37	17.08	+	2.17	1.03E-04	1.37E-02
morphogenesis of an epithelium (GO:0002009)	87	32	14.86	+	2.15	3.18E-04	2.85E-02
metal ion transport (GO:0030001)	82	30	14.01	+	2.14	5.69E-04	4.33E-02
monoatomic ion transport (GO:0006811)	134	48	22.89	+	2.10	1.96E-05	4.50E-03
positive regulation of locomotion (GO:0040017)	129	46	22.03	+	2.09	3.64E-05	7.22E-03
positive regulation of cell migration (GO:0030335)	124	44	21.18	+	2.08	6.89E-05	1.06E-02
transmembrane transport (GO:0055085)	158	56	26.99	+	2.08	4.97E-06	1.62E-03
positive regulation of cell motility (GO:2000147)	127	45	21.69	+	2.07	5.14E-05	8.66E-03
response to wounding (GO:0009611)	115	40	19.64	+	2.04	1.65E-04	1.85E-02
cell activation (GO:0001775)	129	44	22.03	+	2.00	1.41E-04	1.78E-02
supramolecular fiber organization (GO:0097435)	138	47	23.57	+	1.99	6.34E-05	1.03E-02
tissue morphogenesis (GO:0048729)	106	36	18.11	+	1.99	5.78E-04	4.33E-02
positive regulation of cell adhesion (GO:0045785)	110	37	18.79	+	1.97	4.88E-04	3.92E-02
positive regulation of protein localization (GO:1903829)	136	45	23.23	+	1.94	1.98E-04	2.13E-02
protein localization to membrane (GO:0072657)	135	44	23.06	+	1.91	2.88E-04	2.75E-02
actin cytoskeleton organization (GO:0030036)	157	51	26.82	+	1.90	9.94E-05	1.36E-02
import into cell (GO:0098657)	148	48	25.28	+	1.90	1.53E-04	1.83E-02
system process (GO:0003008)	227	73	38.77	+	1.88	3.01E-06	1.09E-03
actin filament-based process (GO:0030029)	166	53	28.35	+	1.87	9.85E-05	1.36E-02
regulation of cell adhesion (GO:0030155)	163	52	27.84	+	1.87	1.28E-04	1.66E-02
cell migration (GO:0016477)	187	59	31.94	+	1.85	4.81E-05	8.69E-03
localization within membrane (GO:0051668)	164	51	28.01	+	1.82	2.89E-04	2.73E-02
regulation of localization (GO:0032879)	438	135	74.81	+	1.80	3.41E-10	8.64E-07
epithelium development (GO:0060429)	208	64	35.53	+	1.80	4.84E-05	8.30E-03
regulation of cell motility (GO:2000145)	202	62	34.50	+	1.80	5.84E-05	9.68E-03
regulation of cell migration (GO:0030334)	196	60	33.48	+	1.79	9.69E-05	1.36E-02
regulation of locomotion (GO:0040012)	206	63	35.19	+	1.79	6.55E-05	1.04E-02
cellular response to oxygen-containing compound (GO:1901701)	226	69	38.60	+	1.79	2.98E-05	6.40E-03
regulation of protein localization (GO:0032880)	220	67	37.58	+	1.78	3.55E-05	7.33E-03
regulation of anatomical structure morphogenesis (GO:0022603)	181	55	30.92	+	1.78	2.51E-04	2.49E-02
cell motility (GO:0048870)	205	62	35.02	+	1.77	9.18E-05	1.31E-02
response to organic cyclic compound (GO:0014070)	176	53	30.06	+	1.76	3.17E-04	2.86E-02
positive regulation of transport (GO:0051050)	199	59	33.99	+	1.74	2.22E-04	2.29E-02
