LFQ intensity R159E_1	LFQ intensity R159E_2	LFQ intensity R159E_3	LFQ intensity R159E_4	LFQ intensity R159E_5	LFQ intensity R159E_6	LFQ intensity Untransfected_1	LFQ intensity Untransfected_2	LFQ intensity Untransfected_3	LFQ intensity Untransfected_4	LFQ intensity Untransfected_5	LFQ intensity Untransfected_6	LFQ intensity WT_1	LFQ intensity WT_2	LFQ intensity WT_3	LFQ intensity WT_4	LFQ intensity WT_5	LFQ intensity WT_6	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	N	N	N	N	N	N	N	N	N	N	N	T	T	T	T	T
#!{C:Group1}R159E	R159E	R159E	R159E	R159E	R159E	Untransfected	Untransfected	Untransfected	Untransfected	Untransfected	Untransfected	LFQ intensity WT	LFQ intensity WT	LFQ intensity WT	LFQ intensity WT	LFQ intensity WT	LFQ intensity WT																			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	19.8	19.8	19.8	24.757	0	6.3334	45383000	3	P0DPI2-2;A0A0B4J2D5-2;P0DPI2;A0A0B4J2D5	P0DPI2-2;A0A0B4J2D5-2;P0DPI2;A0A0B4J2D5			0
0	0	0	2243700	0	0	0	0	0	3337200	3785700	0	0	0	0	0	2514900	0				11	11	11	14.4	14.4	14.4	117.97	0	20.415	15314000	25	A0AVT1;A0AVT1-2;A0AVT1-3;A0AVT1-4	A0AVT1;A0AVT1-2	Ubiquitin-like modifier-activating enzyme 6	UBA6	1
0	0	1532900	0	0	0	1388800	0	0	0	0	0	0	0	0	0	0	0				6	6	6	9.4	9.4	9.4	98.9	0	9.6532	33858000	14	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-5;A0FGR8-4	A0FGR8-2;A0FGR8;A0FGR8-6;A0FGR8-5;A0FGR8-4	Extended synaptotagmin-2	ESYT2	2
0	0	1198300	0	0	0	2104200	0	0	0	0	0	0	0	0	0	0	0				5	5	5	14.6	14.6	14.6	67.867	0	26.627	17830000	10	A1L0T0	A1L0T0	Acetolactate synthase-like protein	ILVBL	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1	1	1	1	1	1	115.6	1	-2	2263400	1	Q8IVF6;A2A2Z9	Q8IVF6;A2A2Z9	Ankyrin repeat domain-containing protein 18A;Ankyrin repeat domain-containing protein 18B	ANKRD18A;ANKRD18B	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	1	1	1	116.94	0.0095511	1.8589	913650	1	A3KMH1-2;A3KMH1-3;A3KMH1	A3KMH1-2;A3KMH1-3;A3KMH1	von Willebrand factor A domain-containing protein 8	VWA8	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			1	1	1	0.6	0.6	0.6	188.96	1	-2	0	1	A4D0S4-3;A4D0S4	A4D0S4-3;A4D0S4	Laminin subunit beta-4	LAMB4	6
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	2	2	6.5	6.5	6.5	42.932	0	3.3867	4642900	2	A4D1E9;A4D1E9-2	A4D1E9;A4D1E9-2	GTP-binding protein 10	GTPBP10	7
